year,month,day,team,defensive_third_down_conversion_%
2021,10,17,Dallas,30.77%
2021,10,17,Seattle,20.00%
2021,10,17,Tennessee,30.00%
2021,10,17,Indianapolis,37.50%
2021,10,17,Pittsburgh,16.67%
2021,10,17,Jacksonville,45.45%
2021,10,17,LA Chargers,33.33%
2021,10,17,Cincinnati,36.36%
2021,10,17,Houston,54.55%
2021,10,17,New England,42.86%
2021,10,17,Denver,58.33%
2021,10,17,Cleveland,46.15%
2021,10,17,Tampa Bay,30.00%
2021,10,17,Chicago,35.71%
2021,10,17,Kansas City,45.45%
2021,10,17,Atlanta,50.00%
2021,10,17,Green Bay,35.71%
2021,10,17,Philadelphia,53.85%
2021,10,17,NY Giants,57.14%
2021,10,17,LA Rams,40.00%
2021,10,17,Washington,36.36%
2021,10,17,Miami,72.73%
2021,10,10,Carolina,33.33%
2021,10,10,Detroit,12.50%
2021,10,10,NY Jets,26.32%
2021,10,10,Buffalo,11.11%
2021,10,10,Baltimore,21.43%
2021,10,10,Arizona,54.55%
2021,10,10,Minnesota,38.89%
2021,10,10,Las Vegas,30.77%
2021,10,10,San Francisco,20.00%
2021,10,10,New Orleans,36.36%
2021,10,10,Seattle,20.00%
2021,10,10,Dallas,30.77%
2021,10,10,Indianapolis,27.27%
2021,10,10,Tennessee,42.86%
2021,10,10,Houston,41.67%
2021,10,10,Denver,41.18%
2021,10,10,Jacksonville,55.56%
2021,10,10,Cleveland,31.25%
2021,10,10,New England,47.37%
2021,10,10,Cincinnati,50.00%
2021,10,10,Atlanta,44.44%
2021,10,10,Kansas City,50.00%
2021,10,10,LA Chargers,30.77%
2021,10,10,NY Giants,61.54%
2021,10,10,Pittsburgh,60.00%
2021,10,10,Chicago,36.36%
2021,10,10,Philadelphia,90.00%
2021,10,10,Tampa Bay,22.22%
2021,10,10,LA Rams,40.00%
2021,10,10,Green Bay,36.36%
2021,10,10,Miami,40.00%
2021,10,10,Washington,62.50%
2021,10,3,Carolina,11.11%
2021,10,3,Arizona,18.18%
2021,10,3,Minnesota,37.50%
2021,10,3,NY Jets,36.36%
2021,10,3,Detroit,10.00%
2021,10,3,Las Vegas,33.33%
2021,10,3,Buffalo,18.18%
2021,10,3,Baltimore,30.00%
2021,10,3,New Orleans,36.84%
2021,10,3,San Francisco,45.45%
2021,10,3,Philadelphia,50.00%
2021,10,3,Tennessee,25.00%
2021,10,3,Houston,45.45%
2021,10,3,Denver,30.77%
2021,10,3,NY Giants,38.46%
2021,10,3,Pittsburgh,33.33%
2021,10,3,Dallas,33.33%
2021,10,3,Jacksonville,55.56%
2021,10,3,New England,46.15%
2021,10,3,Kansas City,36.36%
2021,10,3,Indianapolis,50.00%
2021,10,3,Cincinnati,50.00%
2021,10,3,Atlanta,50.00%
2021,10,3,LA Rams,46.15%
2021,10,3,Cleveland,9.09%
2021,10,3,Chicago,47.06%
2021,10,3,Seattle,64.29%
2021,10,3,LA Chargers,60.00%
2021,10,3,Tampa Bay,66.67%
2021,10,3,Green Bay,63.64%
2021,10,3,Washington,60.00%
2021,10,3,Miami,53.33%
2021,9,26,Carolina,11.11%
2021,9,26,Minnesota,33.33%
2021,9,26,NY Jets,25.00%
2021,9,26,Arizona,20.00%
2021,9,26,Philadelphia,42.86%
2021,9,26,Las Vegas,41.67%
2021,9,26,San Francisco,41.67%
2021,9,26,New Orleans,53.33%
2021,9,26,New England,38.46%
2021,9,26,Baltimore,16.67%
2021,9,26,Houston,45.45%
2021,9,26,Cincinnati,40.00%
2021,9,26,Indianapolis,33.33%
2021,9,26,NY Giants,30.77%
2021,9,26,Atlanta,33.33%
2021,9,26,Buffalo,44.44%
2021,9,26,Seattle,42.86%
2021,9,26,Pittsburgh,38.46%
2021,9,26,Denver,36.36%
2021,9,26,Dallas,41.67%
2021,9,26,Jacksonville,18.18%
2021,9,26,Tennessee,33.33%
2021,9,26,Kansas City,54.55%
2021,9,26,Detroit,55.56%
2021,9,26,LA Chargers,60.00%
2021,9,26,LA Rams,45.45%
2021,9,26,Tampa Bay,40.00%
2021,9,26,Green Bay,44.44%
2021,9,26,Chicago,46.15%
2021,9,26,Washington,33.33%
2021,9,26,Miami,53.85%
2021,9,26,Cleveland,57.14%
2021,9,19,New Orleans,10.00%
2021,9,19,Minnesota,21.43%
2021,9,19,Philadelphia,21.43%
2021,9,19,Las Vegas,25.00%
2021,9,19,San Francisco,26.67%
2021,9,19,Houston,27.27%
2021,9,19,NY Jets,28.57%
2021,9,19,Kansas City,28.57%
2021,9,19,LA Chargers,30.00%
2021,9,19,Carolina,30.77%
2021,9,19,Buffalo,33.33%
2021,9,19,Detroit,33.33%
2021,9,19,Arizona,35.71%
2021,9,19,New England,36.36%
2021,9,19,Cincinnati,37.50%
2021,9,19,Seattle,38.46%
2021,9,19,NY Giants,30.77%
2021,9,19,Pittsburgh,44.44%
2021,9,19,Indianapolis,44.44%
2021,9,19,LA Rams,45.45%
2021,9,19,Dallas,45.45%
2021,9,19,Atlanta,46.15%
2021,9,19,Baltimore,46.67%
2021,9,19,Denver,50.00%
2021,9,19,Green Bay,50.00%
2021,9,19,Tampa Bay,52.94%
2021,9,19,Tennessee,53.85%
2021,9,19,Chicago,54.55%
2021,9,19,Jacksonville,57.14%
2021,9,19,Washington,33.33%
2021,9,19,Miami,68.75%
2021,9,19,Cleveland,69.23%
2021,9,12,Dallas,45.45%
2021,9,12,Tampa Bay,52.94%
2021,9,5,Miami,40.00%
2021,9,5,Baltimore,30.77%
2021,9,5,San Francisco,33.33%
2021,9,5,LA Rams,66.67%
2021,9,5,New Orleans,47.06%
2021,9,5,Pittsburgh,42.86%
2021,9,5,Washington,42.86%
2021,9,5,Philadelphia,40.00%
2021,9,5,Minnesota,50.00%
2021,9,5,Arizona,40.00%
2021,9,5,Chicago,64.71%
2021,9,5,Denver,38.46%
2021,9,5,Kansas City,33.33%
2021,9,5,Green Bay,64.29%
2021,9,5,New England,30.00%
2021,9,5,Atlanta,54.55%
2021,9,5,Tampa Bay,23.08%
2021,9,5,Indianapolis,22.22%
2021,9,5,Buffalo,60.00%
2021,9,5,Cincinnati,64.71%
2021,9,5,Jacksonville,30.00%
2021,9,5,LA Chargers,66.67%
2021,9,5,NY Jets,50.00%
2021,9,5,NY Giants,35.29%
2021,9,5,Cleveland,50.00%
2021,9,5,Seattle,20.00%
2021,9,5,Dallas,0.00%
2021,9,5,Detroit,30.77%
2021,9,5,Houston,70.00%
2021,9,5,Las Vegas,43.75%
2021,9,5,Carolina,42.86%
2021,9,5,Tennessee,53.85%
2021,2,28,Miami,40.00%
2021,2,28,Baltimore,30.77%
2021,2,28,San Francisco,33.33%
2021,2,28,LA Rams,66.67%
2021,2,28,New Orleans,47.06%
2021,2,28,Pittsburgh,42.86%
2021,2,28,Washington,42.86%
2021,2,28,Philadelphia,40.00%
2021,2,28,Minnesota,50.00%
2021,2,28,Arizona,40.00%
2021,2,28,Chicago,64.71%
2021,2,28,Denver,38.46%
2021,2,28,Kansas City,33.33%
2021,2,28,Green Bay,64.29%
2021,2,28,New England,30.00%
2021,2,28,Atlanta,54.55%
2021,2,28,Tampa Bay,23.08%
2021,2,28,Indianapolis,22.22%
2021,2,28,Buffalo,60.00%
2021,2,28,Cincinnati,64.71%
2021,2,28,Jacksonville,30.00%
2021,2,28,LA Chargers,66.67%
2021,2,28,NY Jets,50.00%
2021,2,28,NY Giants,35.29%
2021,2,28,Cleveland,50.00%
2021,2,28,Seattle,20.00%
2021,2,28,Dallas,0.00%
2021,2,28,Detroit,30.77%
2021,2,28,Houston,70.00%
2021,2,28,Las Vegas,43.75%
2021,2,28,Carolina,42.86%
2021,2,28,Tennessee,53.85%
2021,2,21,Miami,40.00%
2021,2,21,Baltimore,30.77%
2021,2,21,San Francisco,33.33%
2021,2,21,LA Rams,66.67%
2021,2,21,New Orleans,47.06%
2021,2,21,Pittsburgh,42.86%
2021,2,21,Washington,42.86%
2021,2,21,Philadelphia,40.00%
2021,2,21,Minnesota,50.00%
2021,2,21,Arizona,40.00%
2021,2,21,Chicago,64.71%
2021,2,21,Denver,38.46%
2021,2,21,Kansas City,33.33%
2021,2,21,Green Bay,64.29%
2021,2,21,New England,30.00%
2021,2,21,Atlanta,54.55%
2021,2,21,Tampa Bay,23.08%
2021,2,21,Indianapolis,22.22%
2021,2,21,Buffalo,60.00%
2021,2,21,Cincinnati,64.71%
2021,2,21,Jacksonville,30.00%
2021,2,21,LA Chargers,66.67%
2021,2,21,NY Jets,50.00%
2021,2,21,NY Giants,35.29%
2021,2,21,Cleveland,50.00%
2021,2,21,Seattle,20.00%
2021,2,21,Dallas,0.00%
2021,2,21,Detroit,30.77%
2021,2,21,Houston,70.00%
2021,2,21,Las Vegas,43.75%
2021,2,21,Carolina,42.86%
2021,2,21,Tennessee,53.85%
2021,2,14,Miami,40.00%
2021,2,14,Baltimore,30.77%
2021,2,14,San Francisco,33.33%
2021,2,14,LA Rams,66.67%
2021,2,14,New Orleans,47.06%
2021,2,14,Pittsburgh,42.86%
2021,2,14,Washington,42.86%
2021,2,14,Philadelphia,40.00%
2021,2,14,Minnesota,50.00%
2021,2,14,Arizona,40.00%
2021,2,14,Chicago,64.71%
2021,2,14,Denver,38.46%
2021,2,14,Kansas City,33.33%
2021,2,14,Green Bay,64.29%
2021,2,14,New England,30.00%
2021,2,14,Atlanta,54.55%
2021,2,14,Tampa Bay,23.08%
2021,2,14,Indianapolis,22.22%
2021,2,14,Buffalo,60.00%
2021,2,14,Cincinnati,64.71%
2021,2,14,Jacksonville,30.00%
2021,2,14,LA Chargers,66.67%
2021,2,14,NY Jets,50.00%
2021,2,14,NY Giants,35.29%
2021,2,14,Cleveland,50.00%
2021,2,14,Seattle,20.00%
2021,2,14,Dallas,0.00%
2021,2,14,Detroit,30.77%
2021,2,14,Houston,70.00%
2021,2,14,Las Vegas,43.75%
2021,2,14,Carolina,42.86%
2021,2,14,Tennessee,53.85%
2021,2,7,Miami,40.00%
2021,2,7,Baltimore,30.77%
2021,2,7,San Francisco,33.33%
2021,2,7,LA Rams,66.67%
2021,2,7,New Orleans,47.06%
2021,2,7,Pittsburgh,42.86%
2021,2,7,Washington,42.86%
2021,2,7,Philadelphia,40.00%
2021,2,7,Minnesota,50.00%
2021,2,7,Arizona,40.00%
2021,2,7,Chicago,64.71%
2021,2,7,Denver,38.46%
2021,2,7,Green Bay,64.29%
2021,2,7,New England,30.00%
2021,2,7,Kansas City,35.71%
2021,2,7,Atlanta,54.55%
2021,2,7,Indianapolis,22.22%
2021,2,7,Buffalo,60.00%
2021,2,7,Tampa Bay,57.14%
2021,2,7,Cincinnati,64.71%
2021,2,7,Jacksonville,30.00%
2021,2,7,LA Chargers,66.67%
2021,2,7,NY Jets,50.00%
2021,2,7,NY Giants,35.29%
2021,2,7,Cleveland,50.00%
2021,2,7,Seattle,20.00%
2021,2,7,Dallas,0.00%
2021,2,7,Detroit,30.77%
2021,2,7,Houston,70.00%
2021,2,7,Las Vegas,43.75%
2021,2,7,Carolina,42.86%
2021,2,7,Tennessee,53.85%
2021,1,31,Miami,0.00%
2021,1,31,Baltimore,10.00%
2021,1,31,San Francisco,25.00%
2021,1,31,LA Rams,47.06%
2021,1,31,Pittsburgh,38.46%
2021,1,31,Chicago,41.67%
2021,1,31,Washington,40.00%
2021,1,31,Philadelphia,46.15%
2021,1,31,Minnesota,55.56%
2021,1,31,Tampa Bay,10.00%
2021,1,31,New Orleans,33.33%
2021,1,31,Green Bay,45.45%
2021,1,31,Arizona,22.22%
2021,1,31,Atlanta,38.46%
2021,1,31,Denver,25.00%
2021,1,31,Kansas City,50.00%
2021,1,31,Buffalo,33.33%
2021,1,31,Cincinnati,44.44%
2021,1,31,New England,41.67%
2021,1,31,LA Chargers,41.18%
2021,1,31,Indianapolis,36.36%
2021,1,31,Cleveland,38.89%
2021,1,31,Jacksonville,50.00%
2021,1,31,NY Jets,40.00%
2021,1,31,NY Giants,72.73%
2021,1,31,Houston,46.15%
2021,1,31,Seattle,47.37%
2021,1,31,Detroit,40.00%
2021,1,31,Dallas,41.18%
2021,1,31,Las Vegas,33.33%
2021,1,31,Carolina,46.67%
2021,1,31,Tennessee,50.00%
2021,1,24,Miami,22.22%
2021,1,24,LA Rams,41.18%
2021,1,24,Pittsburgh,28.57%
2021,1,24,Baltimore,41.67%
2021,1,24,San Francisco,40.00%
2021,1,24,Philadelphia,30.00%
2021,1,24,Chicago,36.36%
2021,1,24,Washington,41.67%
2021,1,24,Minnesota,50.00%
2021,1,24,Green Bay,33.33%
2021,1,24,New Orleans,50.00%
2021,1,24,Kansas City,9.09%
2021,1,24,Atlanta,40.00%
2021,1,24,Arizona,33.33%
2021,1,24,Tampa Bay,40.00%
2021,1,24,Denver,69.23%
2021,1,24,Cincinnati,25.00%
2021,1,24,New England,58.33%
2021,1,24,Buffalo,42.86%
2021,1,24,LA Chargers,38.46%
2021,1,24,Indianapolis,53.33%
2021,1,24,NY Giants,69.23%
2021,1,24,Jacksonville,66.67%
2021,1,24,Cleveland,45.45%
2021,1,24,NY Jets,18.18%
2021,1,24,Houston,54.55%
2021,1,24,Seattle,58.82%
2021,1,24,Detroit,81.82%
2021,1,24,Dallas,40.00%
2021,1,24,Carolina,41.67%
2021,1,24,Las Vegas,58.33%
2021,1,24,Tennessee,58.33%
2021,1,17,Miami,45.45%
2021,1,17,LA Rams,23.08%
2021,1,17,Baltimore,41.67%
2021,1,17,San Francisco,20.00%
2021,1,17,Minnesota,45.45%
2021,1,17,Washington,26.67%
2021,1,17,Pittsburgh,50.00%
2021,1,17,Chicago,50.00%
2021,1,17,Philadelphia,41.67%
2021,1,17,New Orleans,30.77%
2021,1,17,Denver,42.86%
2021,1,17,Green Bay,50.00%
2021,1,17,New England,21.43%
2021,1,17,Atlanta,60.00%
2021,1,17,Tampa Bay,33.33%
2021,1,17,Arizona,25.00%
2021,1,17,NY Giants,38.89%
2021,1,17,Buffalo,10.00%
2021,1,17,Jacksonville,33.33%
2021,1,17,Kansas City,46.67%
2021,1,17,Indianapolis,66.67%
2021,1,17,Cincinnati,45.45%
2021,1,17,LA Chargers,75.00%
2021,1,17,Cleveland,54.55%
2021,1,17,Houston,30.00%
2021,1,17,NY Jets,54.55%
2021,1,17,Seattle,33.33%
2021,1,17,Detroit,72.73%
2021,1,17,Dallas,56.25%
2021,1,17,Las Vegas,72.73%
2021,1,17,Carolina,37.50%
2021,1,17,Tennessee,35.71%
2021,1,10,Miami,25.00%
2021,1,10,LA Rams,33.33%
2021,1,10,Baltimore,40.00%
2021,1,10,Pittsburgh,23.53%
2021,1,10,Chicago,54.55%
2021,1,10,Minnesota,30.77%
2021,1,10,Philadelphia,41.67%
2021,1,10,San Francisco,44.44%
2021,1,10,Washington,40.00%
2021,1,10,Atlanta,47.06%
2021,1,10,Green Bay,30.77%
2021,1,10,Denver,30.00%
2021,1,10,New Orleans,38.46%
2021,1,10,LA Chargers,42.86%
2021,1,10,Indianapolis,38.46%
2021,1,10,Tampa Bay,50.00%
2021,1,10,Kansas City,53.85%
2021,1,10,New England,38.89%
2021,1,10,NY Giants,30.77%
2021,1,10,Arizona,60.00%
2021,1,10,Jacksonville,43.75%
2021,1,10,Cincinnati,10.00%
2021,1,10,Cleveland,20.00%
2021,1,10,Buffalo,54.55%
2021,1,10,Detroit,36.36%
2021,1,10,NY Jets,42.86%
2021,1,10,Houston,27.27%
2021,1,10,Seattle,25.00%
2021,1,10,Las Vegas,55.56%
2021,1,10,Dallas,45.45%
2021,1,10,Carolina,46.15%
2021,1,10,Tennessee,62.50%
2021,1,3,Miami,23.08%
2021,1,3,Chicago,54.55%
2021,1,3,Baltimore,42.86%
2021,1,3,LA Rams,21.43%
2021,1,3,Philadelphia,20.00%
2021,1,3,Minnesota,42.86%
2021,1,3,Atlanta,25.00%
2021,1,3,Pittsburgh,23.08%
2021,1,3,San Francisco,30.77%
2021,1,3,Washington,30.77%
2021,1,3,New Orleans,10.00%
2021,1,3,Denver,46.67%
2021,1,3,Green Bay,40.00%
2021,1,3,LA Chargers,44.44%
2021,1,3,Arizona,36.36%
2021,1,3,Kansas City,33.33%
2021,1,3,Indianapolis,41.67%
2021,1,3,Tampa Bay,50.00%
2021,1,3,Jacksonville,45.45%
2021,1,3,New England,42.86%
2021,1,3,Buffalo,18.75%
2021,1,3,NY Giants,30.00%
2021,1,3,Cincinnati,42.86%
2021,1,3,Cleveland,38.46%
2021,1,3,Detroit,33.33%
2021,1,3,NY Jets,50.00%
2021,1,3,Las Vegas,47.37%
2021,1,3,Houston,46.15%
2021,1,3,Seattle,47.06%
2021,1,3,Dallas,53.85%
2021,1,3,Carolina,46.15%
2021,1,3,Tennessee,38.46%
2020,12,27,Miami,0.00%
2020,12,27,LA Rams,41.18%
2020,12,27,San Francisco,25.00%
2020,12,27,Pittsburgh,28.57%
2020,12,27,Baltimore,41.67%
2020,12,27,Philadelphia,30.00%
2020,12,27,Chicago,36.36%
2020,12,27,Washington,41.67%
2020,12,27,Minnesota,55.56%
2020,12,27,Green Bay,33.33%
2020,12,27,Tampa Bay,10.00%
2020,12,27,New Orleans,33.33%
2020,12,27,Arizona,22.22%
2020,12,27,Kansas City,9.09%
2020,12,27,Atlanta,40.00%
2020,12,27,Denver,69.23%
2020,12,27,Cincinnati,25.00%
2020,12,27,New England,58.33%
2020,12,27,Buffalo,42.86%
2020,12,27,LA Chargers,38.46%
2020,12,27,Indianapolis,53.33%
2020,12,27,NY Giants,69.23%
2020,12,27,Jacksonville,66.67%
2020,12,27,Cleveland,45.45%
2020,12,27,NY Jets,18.18%
2020,12,27,Houston,54.55%
2020,12,27,Seattle,58.82%
2020,12,27,Detroit,40.00%
2020,12,27,Dallas,40.00%
2020,12,27,Las Vegas,33.33%
2020,12,27,Carolina,41.67%
2020,12,27,Tennessee,58.33%
2020,12,20,Miami,45.45%
2020,12,20,LA Rams,23.08%
2020,12,20,Baltimore,41.67%
2020,12,20,San Francisco,20.00%
2020,12,20,Minnesota,45.45%
2020,12,20,Washington,26.67%
2020,12,20,Pittsburgh,50.00%
2020,12,20,Chicago,50.00%
2020,12,20,Philadelphia,41.67%
2020,12,20,New Orleans,30.77%
2020,12,20,Green Bay,33.33%
2020,12,20,New England,21.43%
2020,12,20,Atlanta,60.00%
2020,12,20,Tampa Bay,33.33%
2020,12,20,Denver,69.23%
2020,12,20,Arizona,25.00%
2020,12,20,NY Giants,38.89%
2020,12,20,Buffalo,42.86%
2020,12,20,Jacksonville,33.33%
2020,12,20,Kansas City,46.67%
2020,12,20,Indianapolis,66.67%
2020,12,20,LA Chargers,38.46%
2020,12,20,Cincinnati,45.45%
2020,12,20,Cleveland,54.55%
2020,12,20,Houston,30.00%
2020,12,20,NY Jets,54.55%
2020,12,20,Seattle,33.33%
2020,12,20,Detroit,72.73%
2020,12,20,Carolina,41.67%
2020,12,20,Dallas,56.25%
2020,12,20,Las Vegas,58.33%
2020,12,20,Tennessee,35.71%
2020,12,13,Miami,25.00%
2020,12,13,LA Rams,23.08%
2020,12,13,Baltimore,40.00%
2020,12,13,Pittsburgh,23.53%
2020,12,13,Chicago,54.55%
2020,12,13,Minnesota,30.77%
2020,12,13,Philadelphia,41.67%
2020,12,13,San Francisco,44.44%
2020,12,13,Washington,40.00%
2020,12,13,Atlanta,47.06%
2020,12,13,Green Bay,30.77%
2020,12,13,Denver,30.00%
2020,12,13,New Orleans,38.46%
2020,12,13,New England,21.43%
2020,12,13,LA Chargers,42.86%
2020,12,13,Indianapolis,38.46%
2020,12,13,Tampa Bay,50.00%
2020,12,13,Kansas City,53.85%
2020,12,13,NY Giants,30.77%
2020,12,13,Arizona,60.00%
2020,12,13,Jacksonville,43.75%
2020,12,13,Cincinnati,10.00%
2020,12,13,Cleveland,20.00%
2020,12,13,Buffalo,54.55%
2020,12,13,Detroit,36.36%
2020,12,13,NY Jets,42.86%
2020,12,13,Houston,27.27%
2020,12,13,Seattle,25.00%
2020,12,13,Las Vegas,55.56%
2020,12,13,Dallas,45.45%
2020,12,13,Carolina,46.15%
2020,12,13,Tennessee,62.50%
2020,12,6,Miami,23.08%
2020,12,6,Chicago,54.55%
2020,12,6,Baltimore,42.86%
2020,12,6,LA Rams,21.43%
2020,12,6,Philadelphia,20.00%
2020,12,6,Minnesota,42.86%
2020,12,6,Atlanta,25.00%
2020,12,6,Pittsburgh,23.08%
2020,12,6,San Francisco,30.77%
2020,12,6,Washington,30.77%
2020,12,6,New Orleans,10.00%
2020,12,6,Denver,46.67%
2020,12,6,Green Bay,40.00%
2020,12,6,LA Chargers,44.44%
2020,12,6,Arizona,36.36%
2020,12,6,Kansas City,33.33%
2020,12,6,Indianapolis,41.67%
2020,12,6,Tampa Bay,50.00%
2020,12,6,Jacksonville,45.45%
2020,12,6,New England,42.86%
2020,12,6,Buffalo,18.75%
2020,12,6,NY Giants,30.00%
2020,12,6,Cincinnati,42.86%
2020,12,6,Cleveland,38.46%
2020,12,6,Detroit,33.33%
2020,12,6,NY Jets,50.00%
2020,12,6,Las Vegas,47.37%
2020,12,6,Houston,46.15%
2020,12,6,Seattle,47.06%
2020,12,6,Dallas,53.85%
2020,12,6,Carolina,46.15%
2020,12,6,Tennessee,38.46%
2020,11,29,Miami,11.76%
2020,11,29,Chicago,30.77%
2020,11,29,Minnesota,52.94%
2020,11,29,LA Rams,28.57%
2020,11,29,Denver,0.00%
2020,11,29,Baltimore,25.00%
2020,11,29,San Francisco,16.67%
2020,11,29,Arizona,38.46%
2020,11,29,New England,55.56%
2020,11,29,Tampa Bay,38.46%
2020,11,29,LA Chargers,40.00%
2020,11,29,NY Jets,27.27%
2020,11,29,Atlanta,30.00%
2020,11,29,Washington,25.00%
2020,11,29,Indianapolis,47.06%
