,year,month,day,team,ranking,DateTime,Expected
97,2021,10,31,Tampa Bay,2,2021-10-31,2.0
98,2021,10,31,Arizona,3,2021-10-31,3.0
99,2021,10,31,LA Rams,4,2021-10-31,5.0
100,2021,10,31,Dallas,5,2021-10-31,4.0
101,2021,10,31,New Orleans,6,2021-10-31,6.0
102,2021,10,31,Baltimore,7,2021-10-31,8.0
103,2021,10,31,Green Bay,8,2021-10-31,7.0
104,2021,10,31,Kansas City,9,2021-10-31,10.0
105,2021,10,31,Tennessee,10,2021-10-31,9.0
106,2021,10,31,Cincinnati,11,2021-10-31,17.0
107,2021,10,31,Cleveland,12,2021-10-31,15.0
108,2021,10,31,New England,13,2021-10-31,12.0
109,2021,10,31,LA Chargers,14,2021-10-31,18.0
110,2021,10,31,Minnesota,15,2021-10-31,14.0
111,2021,10,31,Indianapolis,16,2021-10-31,13.0
112,2021,10,31,Seattle,17,2021-10-31,11.0
113,2021,10,31,San Francisco,18,2021-10-31,16.0
114,2021,10,31,Pittsburgh,19,2021-10-31,19.0
115,2021,10,31,Denver,20,2021-10-31,21.0
116,2021,10,31,Las Vegas,21,2021-10-31,22.0
117,2021,10,31,Philadelphia,22,2021-10-31,20.0
118,2021,10,31,Carolina,23,2021-10-31,23.0
119,2021,10,31,Washington,24,2021-10-31,25.0
120,2021,10,31,NY Giants,25,2021-10-31,24.0
121,2021,10,31,Chicago,26,2021-10-31,26.0
122,2021,10,31,Atlanta,27,2021-10-31,27.0
123,2021,10,31,Miami,28,2021-10-31,28.0
124,2021,10,31,Detroit,29,2021-10-31,31.0
125,2021,10,31,Jacksonville,30,2021-10-31,29.0
126,2021,10,31,NY Jets,31,2021-10-31,30.0
127,2021,10,31,Houston,32,2021-10-31,32.0
128,2021,10,24,Buffalo,1,2021-10-24,1.0
129,2021,10,24,Arizona,2,2021-10-24,3.0
130,2021,10,24,Tampa Bay,3,2021-10-24,2.0
131,2021,10,24,Baltimore,4,2021-10-24,7.0
132,2021,10,24,LA Rams,5,2021-10-24,4.0
133,2021,10,24,Kansas City,6,2021-10-24,9.0
134,2021,10,24,Dallas,7,2021-10-24,5.0
135,2021,10,24,New Orleans,8,2021-10-24,6.0
136,2021,10,24,Green Bay,9,2021-10-24,8.0
137,2021,10,24,Cleveland,10,2021-10-24,12.0
138,2021,10,24,LA Chargers,11,2021-10-24,14.0
139,2021,10,24,San Francisco,12,2021-10-24,18.0
140,2021,10,24,Seattle,13,2021-10-24,17.0
141,2021,10,24,Minnesota,14,2021-10-24,15.0
142,2021,10,24,Tennessee,15,2021-10-24,10.0
143,2021,10,24,Indianapolis,16,2021-10-24,16.0
144,2021,10,24,Denver,17,2021-10-24,20.0
145,2021,10,24,Pittsburgh,18,2021-10-24,19.0
146,2021,10,24,Cincinnati,19,2021-10-24,11.0
147,2021,10,24,Las Vegas,20,2021-10-24,21.0
148,2021,10,24,New England,21,2021-10-24,13.0
149,2021,10,24,Carolina,22,2021-10-24,23.0
150,2021,10,24,Philadelphia,23,2021-10-24,22.0
151,2021,10,24,Chicago,24,2021-10-24,26.0
152,2021,10,24,Washington,25,2021-10-24,24.0
153,2021,10,24,NY Giants,26,2021-10-24,25.0
154,2021,10,24,Atlanta,27,2021-10-24,27.0
155,2021,10,24,Miami,28,2021-10-24,28.0
156,2021,10,24,Jacksonville,29,2021-10-24,30.0
157,2021,10,24,Detroit,30,2021-10-24,29.0
158,2021,10,24,NY Jets,31,2021-10-24,31.0
159,2021,10,24,Houston,32,2021-10-24,32.0
160,2021,10,17,Buffalo,1,2021-10-17,1.0
161,2021,10,17,Tampa Bay,2,2021-10-17,3.0
162,2021,10,17,Arizona,3,2021-10-17,2.0
163,2021,10,17,Dallas,4,2021-10-17,7.0
164,2021,10,17,Kansas City,5,2021-10-17,6.0
165,2021,10,17,LA Rams,6,2021-10-17,5.0
166,2021,10,17,Baltimore,7,2021-10-17,4.0
167,2021,10,17,Cleveland,8,2021-10-17,10.0
168,2021,10,17,New Orleans,9,2021-10-17,8.0
169,2021,10,17,LA Chargers,10,2021-10-17,11.0
170,2021,10,17,Green Bay,11,2021-10-17,9.0
171,2021,10,17,San Francisco,12,2021-10-17,12.0
172,2021,10,17,Seattle,13,2021-10-17,13.0
173,2021,10,17,Denver,14,2021-10-17,17.0
174,2021,10,17,Minnesota,15,2021-10-17,14.0
175,2021,10,17,Carolina,16,2021-10-17,22.0
176,2021,10,17,Tennessee,17,2021-10-17,15.0
177,2021,10,17,New England,18,2021-10-17,21.0
178,2021,10,17,Pittsburgh,19,2021-10-17,18.0
179,2021,10,17,Philadelphia,20,2021-10-17,23.0
180,2021,10,17,Indianapolis,21,2021-10-17,16.0
181,2021,10,17,Las Vegas,22,2021-10-17,20.0
182,2021,10,17,Cincinnati,23,2021-10-17,19.0
183,2021,10,17,Washington,24,2021-10-17,25.0
184,2021,10,17,Chicago,25,2021-10-17,24.0
185,2021,10,17,NY Giants,26,2021-10-17,26.0
186,2021,10,17,Atlanta,27,2021-10-17,27.0
187,2021,10,17,Miami,28,2021-10-17,28.0
188,2021,10,17,Detroit,29,2021-10-17,30.0
189,2021,10,17,Jacksonville,30,2021-10-17,29.0
190,2021,10,17,NY Jets,31,2021-10-17,31.0
191,2021,10,17,Houston,32,2021-10-17,32.0
192,2021,10,10,Buffalo,1,2021-10-10,1.0
193,2021,10,10,Kansas City,2,2021-10-10,5.0
194,2021,10,10,Tampa Bay,3,2021-10-10,2.0
195,2021,10,10,Arizona,4,2021-10-10,3.0
196,2021,10,10,Baltimore,5,2021-10-10,7.0
197,2021,10,10,Cleveland,6,2021-10-10,8.0
198,2021,10,10,LA Rams,7,2021-10-10,6.0
199,2021,10,10,Dallas,8,2021-10-10,4.0
200,2021,10,10,LA Chargers,9,2021-10-10,10.0
201,2021,10,10,New Orleans,10,2021-10-10,9.0
202,2021,10,10,Denver,11,2021-10-10,14.0
203,2021,10,10,Green Bay,12,2021-10-10,11.0
204,2021,10,10,Minnesota,13,2021-10-10,15.0
205,2021,10,10,San Francisco,14,2021-10-10,12.0
206,2021,10,10,Seattle,15,2021-10-10,13.0
207,2021,10,10,Carolina,16,2021-10-10,16.0
208,2021,10,10,New England,17,2021-10-10,18.0
209,2021,10,10,Las Vegas,18,2021-10-10,22.0
210,2021,10,10,Pittsburgh,19,2021-10-10,19.0
211,2021,10,10,Washington,20,2021-10-10,24.0
212,2021,10,10,Tennessee,21,2021-10-10,17.0
213,2021,10,10,Indianapolis,22,2021-10-10,21.0
214,2021,10,10,Cincinnati,23,2021-10-10,23.0
215,2021,10,10,Philadelphia,24,2021-10-10,20.0
216,2021,10,10,NY Giants,25,2021-10-10,26.0
217,2021,10,10,Chicago,26,2021-10-10,25.0
218,2021,10,10,Miami,27,2021-10-10,28.0
219,2021,10,10,Atlanta,28,2021-10-10,27.0
220,2021,10,10,Jacksonville,29,2021-10-10,30.0
221,2021,10,10,Detroit,30,2021-10-10,29.0
222,2021,10,10,NY Jets,31,2021-10-10,31.0
223,2021,10,10,Houston,32,2021-10-10,32.0
224,2021,10,3,Buffalo,1,2021-10-03,1.0
225,2021,10,3,Tampa Bay,2,2021-10-03,3.0
226,2021,10,3,Kansas City,3,2021-10-03,2.0
227,2021,10,3,LA Rams,4,2021-10-03,7.0
228,2021,10,3,New Orleans,5,2021-10-03,10.0
229,2021,10,3,Cleveland,6,2021-10-03,6.0
230,2021,10,3,Baltimore,7,2021-10-03,5.0
231,2021,10,3,Dallas,8,2021-10-03,8.0
232,2021,10,3,Arizona,9,2021-10-03,4.0
233,2021,10,3,Denver,10,2021-10-03,11.0
234,2021,10,3,LA Chargers,11,2021-10-03,9.0
235,2021,10,3,San Francisco,12,2021-10-03,14.0
236,2021,10,3,Green Bay,13,2021-10-03,12.0
237,2021,10,3,Minnesota,14,2021-10-03,13.0
238,2021,10,3,Seattle,15,2021-10-03,15.0
239,2021,10,3,Carolina,16,2021-10-03,16.0
240,2021,10,3,Las Vegas,17,2021-10-03,18.0
241,2021,10,3,New England,18,2021-10-03,17.0
242,2021,10,3,Tennessee,19,2021-10-03,21.0
243,2021,10,3,Pittsburgh,20,2021-10-03,19.0
244,2021,10,3,Philadelphia,21,2021-10-03,24.0
245,2021,10,3,Washington,22,2021-10-03,20.0
246,2021,10,3,Cincinnati,23,2021-10-03,23.0
247,2021,10,3,Indianapolis,24,2021-10-03,22.0
248,2021,10,3,Miami,25,2021-10-03,27.0
249,2021,10,3,NY Giants,26,2021-10-03,25.0
250,2021,10,3,Chicago,27,2021-10-03,26.0
251,2021,10,3,Atlanta,28,2021-10-03,28.0
252,2021,10,3,Jacksonville,29,2021-10-03,29.0
253,2021,10,3,Detroit,30,2021-10-03,30.0
254,2021,10,3,Houston,31,2021-10-03,32.0
255,2021,10,3,NY Jets,32,2021-10-03,31.0
256,2021,9,26,Tampa Bay,1,2021-09-26,2.0
257,2021,9,26,Kansas City,2,2021-09-26,3.0
258,2021,9,26,Buffalo,3,2021-09-26,1.0
259,2021,9,26,Baltimore,4,2021-09-26,7.0
260,2021,9,26,LA Rams,5,2021-09-26,4.0
261,2021,9,26,Cleveland,6,2021-09-26,6.0
262,2021,9,26,New Orleans,7,2021-09-26,5.0
263,2021,9,26,San Francisco,8,2021-09-26,12.0
264,2021,9,26,Arizona,9,2021-09-26,9.0
265,2021,9,26,Seattle,10,2021-09-26,15.0
266,2021,9,26,New England,11,2021-09-26,18.0
267,2021,9,26,Denver,12,2021-09-26,10.0
268,2021,9,26,Dallas,13,2021-09-26,8.0
269,2021,9,26,Green Bay,14,2021-09-26,13.0
270,2021,9,26,Pittsburgh,15,2021-09-26,20.0
271,2021,9,26,LA Chargers,16,2021-09-26,11.0
272,2021,9,26,Las Vegas,17,2021-09-26,17.0
273,2021,9,26,Carolina,18,2021-09-26,16.0
274,2021,9,26,Minnesota,19,2021-09-26,14.0
275,2021,9,26,Philadelphia,20,2021-09-26,21.0
276,2021,9,26,Washington,21,2021-09-26,22.0
277,2021,9,26,Tennessee,22,2021-09-26,19.0
278,2021,9,26,Indianapolis,23,2021-09-26,24.0
279,2021,9,26,NY Giants,24,2021-09-26,26.0
280,2021,9,26,Chicago,25,2021-09-26,27.0
281,2021,9,26,Miami,26,2021-09-26,25.0
282,2021,9,26,Cincinnati,27,2021-09-26,23.0
283,2021,9,26,Atlanta,28,2021-09-26,28.0
284,2021,9,26,Jacksonville,29,2021-09-26,29.0
285,2021,9,26,NY Jets,30,2021-09-26,32.0
286,2021,9,26,Detroit,31,2021-09-26,30.0
287,2021,9,26,Houston,32,2021-09-26,31.0
288,2021,9,19,Kansas City,1,2021-09-19,2.0
289,2021,9,19,Tampa Bay,2,2021-09-19,1.0
290,2021,9,19,New Orleans,3,2021-09-19,7.0
291,2021,9,19,Baltimore,4,2021-09-19,4.0
292,2021,9,19,LA Rams,5,2021-09-19,5.0
293,2021,9,19,Cleveland,6,2021-09-19,6.0
294,2021,9,19,Seattle,7,2021-09-19,10.0
295,2021,9,19,Buffalo,8,2021-09-19,3.0
296,2021,9,19,Arizona,9,2021-09-19,9.0
297,2021,9,19,San Francisco,10,2021-09-19,8.0
298,2021,9,19,Pittsburgh,11,2021-09-19,15.0
299,2021,9,19,LA Chargers,12,2021-09-19,16.0
300,2021,9,19,Denver,13,2021-09-19,12.0
301,2021,9,19,Green Bay,14,2021-09-19,14.0
302,2021,9,19,Dallas,15,2021-09-19,13.0
303,2021,9,19,New England,16,2021-09-19,11.0
304,2021,9,19,Philadelphia,17,2021-09-19,20.0
305,2021,9,19,Minnesota,18,2021-09-19,19.0
306,2021,9,19,Washington,19,2021-09-19,21.0
307,2021,9,19,Miami,20,2021-09-19,26.0
308,2021,9,19,Las Vegas,21,2021-09-19,17.0
309,2021,9,19,Indianapolis,22,2021-09-19,23.0
310,2021,9,19,Tennessee,23,2021-09-19,22.0
311,2021,9,19,Carolina,24,2021-09-19,18.0
312,2021,9,19,NY Giants,25,2021-09-19,24.0
313,2021,9,19,Chicago,26,2021-09-19,25.0
314,2021,9,19,Cincinnati,27,2021-09-19,27.0
315,2021,9,19,Atlanta,28,2021-09-19,28.0
316,2021,9,19,NY Jets,29,2021-09-19,30.0
317,2021,9,19,Jacksonville,30,2021-09-19,29.0
318,2021,9,19,Detroit,31,2021-09-19,31.0
319,2021,9,19,Houston,32,2021-09-19,32.0
320,2021,9,12,Kansas City,1,2021-09-12,1.0
321,2021,9,12,Tampa Bay,2,2021-09-12,2.0
322,2021,9,12,Baltimore,3,2021-09-12,4.0
323,2021,9,12,Green Bay,4,2021-09-12,14.0
324,2021,9,12,Buffalo,5,2021-09-12,8.0
325,2021,9,12,Cleveland,6,2021-09-12,6.0
326,2021,9,12,LA Rams,7,2021-09-12,5.0
327,2021,9,12,San Francisco,8,2021-09-12,10.0
328,2021,9,12,Seattle,9,2021-09-12,7.0
329,2021,9,12,New England,10,2021-09-12,16.0
330,2021,9,12,New Orleans,11,2021-09-12,3.0
331,2021,9,12,LA Chargers,12,2021-09-12,12.0
332,2021,9,12,Tennessee,13,2021-09-12,23.0
333,2021,9,12,Dallas,14,2021-09-12,15.0
334,2021,9,12,Pittsburgh,15,2021-09-12,11.0
335,2021,9,12,Washington,16,2021-09-12,19.0
336,2021,9,12,Minnesota,17,2021-09-12,18.0
337,2021,9,12,Denver,18,2021-09-12,13.0
338,2021,9,12,Arizona,19,2021-09-12,9.0
339,2021,9,12,Indianapolis,20,2021-09-12,22.0
340,2021,9,12,Miami,21,2021-09-12,20.0
341,2021,9,12,Las Vegas,22,2021-09-12,21.0
342,2021,9,12,Atlanta,23,2021-09-12,28.0
343,2021,9,12,Chicago,24,2021-09-12,26.0
344,2021,9,12,NY Giants,25,2021-09-12,25.0
345,2021,9,12,Philadelphia,26,2021-09-12,17.0
346,2021,9,12,Carolina,27,2021-09-12,24.0
347,2021,9,12,Cincinnati,28,2021-09-12,27.0
348,2021,9,12,Jacksonville,29,2021-09-12,30.0
349,2021,9,12,NY Jets,30,2021-09-12,29.0
350,2021,9,12,Detroit,31,2021-09-12,31.0
351,2021,9,12,Houston,32,2021-09-12,32.0
352,2021,9,5,Kansas City,1,2021-09-05,1.0
353,2021,9,5,Tampa Bay,2,2021-09-05,2.0
354,2021,9,5,Baltimore,3,2021-09-05,3.0
355,2021,9,5,Green Bay,4,2021-09-05,4.0
356,2021,9,5,Buffalo,5,2021-09-05,5.0
357,2021,9,5,Cleveland,6,2021-09-05,6.0
358,2021,9,5,LA Rams,7,2021-09-05,7.0
359,2021,9,5,San Francisco,8,2021-09-05,8.0
360,2021,9,5,Seattle,9,2021-09-05,9.0
361,2021,9,5,New England,10,2021-09-05,10.0
362,2021,9,5,New Orleans,11,2021-09-05,11.0
363,2021,9,5,LA Chargers,12,2021-09-05,12.0
364,2021,9,5,Tennessee,13,2021-09-05,13.0
365,2021,9,5,Pittsburgh,14,2021-09-05,15.0
366,2021,9,5,Washington,15,2021-09-05,16.0
367,2021,9,5,Minnesota,16,2021-09-05,17.0
368,2021,9,5,Dallas,17,2021-09-05,14.0
369,2021,9,5,Denver,18,2021-09-05,18.0
370,2021,9,5,Arizona,19,2021-09-05,19.0
371,2021,9,5,Indianapolis,20,2021-09-05,20.0
372,2021,9,5,Miami,21,2021-09-05,21.0
373,2021,9,5,Las Vegas,22,2021-09-05,22.0
374,2021,9,5,Atlanta,23,2021-09-05,23.0
375,2021,9,5,Chicago,24,2021-09-05,24.0
376,2021,9,5,NY Giants,25,2021-09-05,25.0
377,2021,9,5,Philadelphia,26,2021-09-05,26.0
378,2021,9,5,Carolina,27,2021-09-05,27.0
379,2021,9,5,Cincinnati,28,2021-09-05,28.0
380,2021,9,5,Jacksonville,29,2021-09-05,29.0
381,2021,9,5,NY Jets,30,2021-09-05,30.0
382,2021,9,5,Detroit,31,2021-09-05,31.0
383,2021,9,5,Houston,32,2021-09-05,32.0
384,2021,2,7,Tampa Bay,1,2021-02-07,
385,2021,2,7,New Orleans,2,2021-02-07,
386,2021,2,7,Baltimore,3,2021-02-07,
387,2021,2,7,Kansas City,4,2021-02-07,
388,2021,2,7,Green Bay,5,2021-02-07,
389,2021,2,7,Buffalo,6,2021-02-07,
390,2021,2,7,LA Rams,7,2021-02-07,
391,2021,2,7,Seattle,8,2021-02-07,
392,2021,2,7,Pittsburgh,9,2021-02-07,
393,2021,2,7,Indianapolis,10,2021-02-07,
394,2021,2,7,Tennessee,11,2021-02-07,
395,2021,2,7,San Francisco,12,2021-02-07,
396,2021,2,7,Arizona,13,2021-02-07,
397,2021,2,7,Miami,14,2021-02-07,
398,2021,2,7,Atlanta,15,2021-02-07,
399,2021,2,7,Chicago,16,2021-02-07,
400,2021,2,7,Cleveland,17,2021-02-07,
401,2021,2,7,New England,18,2021-02-07,
402,2021,2,7,Minnesota,19,2021-02-07,
403,2021,2,7,Las Vegas,20,2021-02-07,
404,2021,2,7,Carolina,21,2021-02-07,
405,2021,2,7,Washington,22,2021-02-07,
406,2021,2,7,LA Chargers,23,2021-02-07,
407,2021,2,7,Philadelphia,24,2021-02-07,
408,2021,2,7,Dallas,25,2021-02-07,
409,2021,2,7,Houston,26,2021-02-07,
410,2021,2,7,NY Giants,27,2021-02-07,
411,2021,2,7,Denver,28,2021-02-07,
412,2021,2,7,Detroit,29,2021-02-07,
413,2021,2,7,Cincinnati,30,2021-02-07,
414,2021,2,7,NY Jets,31,2021-02-07,
415,2021,2,7,Jacksonville,32,2021-02-07,
416,2021,1,31,Kansas City,1,2021-01-31,4.0
417,2021,1,31,New Orleans,2,2021-01-31,2.0
418,2021,1,31,Baltimore,3,2021-01-31,3.0
419,2021,1,31,Tampa Bay,4,2021-01-31,1.0
420,2021,1,31,Green Bay,5,2021-01-31,5.0
421,2021,1,31,Buffalo,6,2021-01-31,6.0
422,2021,1,31,Pittsburgh,7,2021-01-31,9.0
423,2021,1,31,Seattle,8,2021-01-31,8.0
424,2021,1,31,LA Rams,9,2021-01-31,7.0
425,2021,1,31,Indianapolis,10,2021-01-31,10.0
426,2021,1,31,Miami,11,2021-01-31,14.0
427,2021,1,31,Tennessee,12,2021-01-31,11.0
428,2021,1,31,San Francisco,13,2021-01-31,12.0
429,2021,1,31,Arizona,14,2021-01-31,13.0
430,2021,1,31,Atlanta,15,2021-01-31,15.0
431,2021,1,31,Chicago,16,2021-01-31,16.0
432,2021,1,31,New England,17,2021-01-31,18.0
433,2021,1,31,Carolina,18,2021-01-31,21.0
434,2021,1,31,Minnesota,19,2021-01-31,19.0
435,2021,1,31,Cleveland,20,2021-01-31,17.0
436,2021,1,31,Las Vegas,21,2021-01-31,20.0
437,2021,1,31,Washington,22,2021-01-31,22.0
438,2021,1,31,Philadelphia,23,2021-01-31,24.0
439,2021,1,31,Dallas,24,2021-01-31,25.0
440,2021,1,31,LA Chargers,25,2021-01-31,23.0
441,2021,1,31,Houston,26,2021-01-31,26.0
442,2021,1,31,NY Giants,27,2021-01-31,27.0
443,2021,1,31,Denver,28,2021-01-31,28.0
444,2021,1,31,Cincinnati,29,2021-01-31,30.0
445,2021,1,31,Detroit,30,2021-01-31,29.0
446,2021,1,31,NY Jets,31,2021-01-31,31.0
447,2021,1,31,Jacksonville,32,2021-01-31,32.0
448,2021,1,24,Kansas City,1,2021-01-24,1.0
449,2021,1,24,Baltimore,2,2021-01-24,3.0
450,2021,1,24,New Orleans,3,2021-01-24,2.0
451,2021,1,24,Tampa Bay,4,2021-01-24,4.0
452,2021,1,24,Pittsburgh,5,2021-01-24,7.0
453,2021,1,24,Green Bay,6,2021-01-24,5.0
454,2021,1,24,LA Rams,7,2021-01-24,9.0
455,2021,1,24,Seattle,8,2021-01-24,8.0
456,2021,1,24,Buffalo,9,2021-01-24,6.0
457,2021,1,24,Indianapolis,10,2021-01-24,10.0
458,2021,1,24,Tennessee,11,2021-01-24,12.0
459,2021,1,24,Arizona,12,2021-01-24,14.0
460,2021,1,24,Miami,13,2021-01-24,11.0
461,2021,1,24,San Francisco,14,2021-01-24,13.0
462,2021,1,24,New England,15,2021-01-24,17.0
463,2021,1,24,Atlanta,16,2021-01-24,15.0
464,2021,1,24,Chicago,17,2021-01-24,16.0
465,2021,1,24,Cleveland,18,2021-01-24,20.0
466,2021,1,24,Minnesota,19,2021-01-24,19.0
467,2021,1,24,Philadelphia,20,2021-01-24,23.0
468,2021,1,24,Carolina,21,2021-01-24,18.0
469,2021,1,24,Washington,22,2021-01-24,22.0
470,2021,1,24,Las Vegas,23,2021-01-24,21.0
471,2021,1,24,Houston,24,2021-01-24,26.0
472,2021,1,24,Dallas,25,2021-01-24,24.0
473,2021,1,24,LA Chargers,26,2021-01-24,25.0
474,2021,1,24,NY Giants,27,2021-01-24,27.0
475,2021,1,24,Denver,28,2021-01-24,28.0
476,2021,1,24,Detroit,29,2021-01-24,30.0
477,2021,1,24,Cincinnati,30,2021-01-24,29.0
478,2021,1,24,Jacksonville,31,2021-01-24,32.0
479,2021,1,24,NY Jets,32,2021-01-24,31.0
480,2021,1,17,Kansas City,1,2021-01-17,1.0
481,2021,1,17,Baltimore,2,2021-01-17,2.0
482,2021,1,17,New Orleans,3,2021-01-17,3.0
483,2021,1,17,Tampa Bay,4,2021-01-17,4.0
484,2021,1,17,Pittsburgh,5,2021-01-17,5.0
485,2021,1,17,LA Rams,6,2021-01-17,7.0
486,2021,1,17,Green Bay,7,2021-01-17,6.0
487,2021,1,17,Seattle,8,2021-01-17,8.0
488,2021,1,17,Indianapolis,9,2021-01-17,10.0
489,2021,1,17,Tennessee,10,2021-01-17,11.0
490,2021,1,17,Buffalo,11,2021-01-17,9.0
491,2021,1,17,Arizona,12,2021-01-17,12.0
492,2021,1,17,San Francisco,13,2021-01-17,14.0
493,2021,1,17,Miami,14,2021-01-17,13.0
494,2021,1,17,New England,15,2021-01-17,15.0
495,2021,1,17,Atlanta,16,2021-01-17,16.0
496,2021,1,17,Chicago,17,2021-01-17,17.0
497,2021,1,17,Minnesota,18,2021-01-17,19.0
498,2021,1,17,Cleveland,19,2021-01-17,18.0
499,2021,1,17,Philadelphia,20,2021-01-17,20.0
500,2021,1,17,Carolina,21,2021-01-17,21.0
501,2021,1,17,Washington,22,2021-01-17,22.0
502,2021,1,17,Las Vegas,23,2021-01-17,23.0
503,2021,1,17,Houston,24,2021-01-17,24.0
504,2021,1,17,NY Giants,25,2021-01-17,27.0
505,2021,1,17,Denver,26,2021-01-17,28.0
506,2021,1,17,Dallas,27,2021-01-17,25.0
507,2021,1,17,LA Chargers,28,2021-01-17,26.0
508,2021,1,17,Detroit,29,2021-01-17,29.0
