year,month,day,team,completion_percentage
2021,10,17,Cleveland,71.88%
2021,10,17,LA Chargers,60.47%
2021,10,17,Detroit,60.00%
2021,10,17,Green Bay,69.23%
2021,10,17,Carolina,56.76%
2021,10,17,Indianapolis,71.43%
2021,10,17,Houston,72.41%
2021,10,17,NY Giants,53.85%
2021,10,17,Las Vegas,62.86%
2021,10,17,Tennessee,63.64%
2021,10,17,Washington,48.78%
2021,10,17,Pittsburgh,60.00%
2021,10,17,Miami,69.23%
2021,10,17,Buffalo,57.69%
2021,10,17,Philadelphia,46.15%
2021,10,17,San Francisco,51.72%
2021,10,17,New Orleans,50.00%
2021,10,17,Chicago,61.90%
2021,10,17,Jacksonville,69.70%
2021,10,17,NY Jets,59.38%
2021,10,10,Arizona,75.00%
2021,10,10,Dallas,63.64%
2021,10,10,Cincinnati,78.13%
2021,10,10,Kansas City,80.00%
2021,10,10,Seattle,63.64%
2021,10,10,New England,78.57%
2021,10,10,Denver,51.35%
2021,10,10,Minnesota,52.63%
2021,10,10,Washington,69.70%
2021,10,10,LA Chargers,64.10%
2021,10,10,LA Rams,67.57%
2021,10,10,Detroit,63.16%
2021,10,10,Carolina,66.67%
2021,10,10,Atlanta,59.52%
2021,10,10,NY Giants,70.00%
2021,10,10,Philadelphia,66.67%
2021,10,10,Cleveland,45.45%
2021,10,10,Green Bay,55.56%
2021,10,10,Tampa Bay,51.16%
2021,10,10,New Orleans,73.08%
2021,10,10,San Francisco,56.10%
2021,10,10,Las Vegas,61.76%
2021,10,10,Pittsburgh,65.00%
2021,10,10,Tennessee,61.22%
2021,10,10,Buffalo,67.74%
2021,10,10,Indianapolis,75.00%
2021,10,10,Houston,52.38%
2021,10,10,Miami,66.67%
2021,10,10,Baltimore,59.46%
2021,10,10,Chicago,64.71%
2021,10,10,Jacksonville,70.83%
2021,10,10,NY Jets,61.76%
2021,10,3,Dallas,80.77%
2021,10,3,Denver,76.00%
2021,10,3,Arizona,82.35%
2021,10,3,Minnesota,78.95%
2021,10,3,Cleveland,61.29%
2021,10,3,Seattle,71.88%
2021,10,3,Cincinnati,78.13%
2021,10,3,Kansas City,61.36%
2021,10,3,LA Rams,71.05%
2021,10,3,LA Chargers,68.42%
2021,10,3,Atlanta,75.00%
2021,10,3,Detroit,70.97%
2021,10,3,Tampa Bay,74.55%
2021,10,3,Green Bay,69.70%
2021,10,3,Carolina,67.65%
2021,10,3,Washington,58.33%
2021,10,3,San Francisco,62.50%
2021,10,3,New England,58.82%
2021,10,3,NY Giants,68.57%
2021,10,3,Philadelphia,64.10%
2021,10,3,Tennessee,66.67%
2021,10,3,Las Vegas,60.47%
2021,10,3,Houston,67.86%
2021,10,3,Pittsburgh,65.52%
2021,10,3,Buffalo,75.00%
2021,10,3,New Orleans,61.90%
2021,10,3,Baltimore,51.61%
2021,10,3,Miami,65.31%
2021,10,3,Chicago,30.00%
2021,10,3,Indianapolis,51.35%
2021,10,3,Jacksonville,70.83%
2021,10,3,NY Jets,54.29%
2021,9,26,Cleveland,90.48%
2021,9,26,Denver,76.47%
2021,9,26,Dallas,85.19%
2021,9,26,Kansas City,77.42%
2021,9,26,Seattle,70.97%
2021,9,26,New England,73.33%
2021,9,26,Arizona,80.56%
2021,9,26,Minnesota,68.75%
2021,9,26,Washington,73.91%
2021,9,26,San Francisco,73.33%
2021,9,26,LA Chargers,75.61%
2021,9,26,LA Rams,63.33%
2021,9,26,Detroit,72.22%
2021,9,26,Chicago,62.50%
2021,9,26,Cincinnati,63.33%
2021,9,26,Carolina,67.65%
2021,9,26,Green Bay,81.48%
2021,9,26,Atlanta,72.92%
2021,9,26,Las Vegas,75.68%
2021,9,26,Philadelphia,50.00%
2021,9,26,Baltimore,69.23%
2021,9,26,Tampa Bay,66.67%
2021,9,26,Tennessee,67.50%
2021,9,26,Houston,67.86%
2021,9,26,NY Giants,68.75%
2021,9,26,Indianapolis,61.11%
2021,9,26,Pittsburgh,67.50%
2021,9,26,New Orleans,50.00%
2021,9,26,Miami,56.82%
2021,9,26,Buffalo,51.52%
2021,9,26,NY Jets,57.58%
2021,9,26,Jacksonville,42.42%
2021,9,19,Seattle,78.26%
2021,9,19,Denver,77.78%
2021,9,19,Philadelphia,77.14%
2021,9,19,LA Rams,76.92%
2021,9,19,Kansas City,75.00%
2021,9,19,Cleveland,75.00%
2021,9,19,New England,74.36%
2021,9,19,Cincinnati,74.07%
2021,9,19,Minnesota,74.00%
2021,9,19,Chicago,72.50%
2021,9,19,Dallas,72.41%
2021,9,19,Washington,73.91%
2021,9,19,New Orleans,71.43%
2021,9,19,San Francisco,69.23%
2021,9,19,Carolina,68.57%
2021,9,19,Detroit,66.67%
2021,9,19,LA Chargers,65.96%
2021,9,19,Indianapolis,65.79%
2021,9,19,Arizona,65.63%
2021,9,19,Tampa Bay,64.00%
2021,9,19,NY Giants,68.75%
2021,9,19,Houston,63.64%
2021,9,19,Baltimore,63.33%
2021,9,19,Tennessee,61.11%
2021,9,19,Las Vegas,60.71%
2021,9,19,Atlanta,60.00%
2021,9,19,Miami,59.26%
2021,9,19,Buffalo,58.82%
2021,9,19,Green Bay,57.14%
2021,9,19,Pittsburgh,56.25%
2021,9,19,Jacksonville,54.90%
2021,9,19,NY Jets,54.05%
2021,9,12,Dallas,72.41%
2021,9,12,Tampa Bay,64.00%
2021,9,5,Green Bay,68.75%
2021,9,5,Houston,72.50%
2021,9,5,New Orleans,57.14%
2021,9,5,Buffalo,58.33%
2021,9,5,Carolina,48.65%
2021,9,5,Minnesota,70.00%
2021,9,5,Seattle,40.74%
2021,9,5,Arizona,70.37%
2021,9,5,Las Vegas,63.16%
2021,9,5,Indianapolis,58.70%
2021,9,5,Kansas City,53.06%
2021,9,5,LA Rams,77.78%
2021,9,5,Miami,61.02%
2021,9,5,LA Chargers,70.97%
2021,9,5,Pittsburgh,69.12%
2021,9,5,Chicago,65.52%
2021,9,5,Tennessee,69.23%
2021,9,5,San Francisco,67.57%
2021,9,5,Atlanta,65.91%
2021,9,5,Dallas,61.70%
2021,9,5,Washington,59.09%
2021,9,5,New England,70.97%
2021,9,5,Tampa Bay,72.41%
2021,9,5,Detroit,64.52%
2021,9,5,Cincinnati,28.57%
2021,9,5,Baltimore,54.05%
2021,9,5,Jacksonville,61.90%
2021,9,5,Cleveland,62.16%
2021,9,5,NY Giants,68.00%
2021,9,5,NY Jets,67.65%
2021,9,5,Denver,60.98%
2021,9,5,Philadelphia,39.39%
2021,2,28,Green Bay,68.75%
2021,2,28,Houston,72.50%
2021,2,28,New Orleans,57.14%
2021,2,28,Buffalo,58.33%
2021,2,28,Carolina,48.65%
2021,2,28,Minnesota,70.00%
2021,2,28,Seattle,40.74%
2021,2,28,Arizona,70.37%
2021,2,28,Las Vegas,63.16%
2021,2,28,Indianapolis,58.70%
2021,2,28,Kansas City,53.06%
2021,2,28,LA Rams,77.78%
2021,2,28,Miami,61.02%
2021,2,28,LA Chargers,70.97%
2021,2,28,Pittsburgh,69.12%
2021,2,28,Chicago,65.52%
2021,2,28,Tennessee,69.23%
2021,2,28,San Francisco,67.57%
2021,2,28,Atlanta,65.91%
2021,2,28,Dallas,61.70%
2021,2,28,Washington,59.09%
2021,2,28,New England,70.97%
2021,2,28,Tampa Bay,72.41%
2021,2,28,Detroit,64.52%
2021,2,28,Cincinnati,28.57%
2021,2,28,Baltimore,54.05%
2021,2,28,Jacksonville,61.90%
2021,2,28,Cleveland,62.16%
2021,2,28,NY Giants,68.00%
2021,2,28,NY Jets,67.65%
2021,2,28,Denver,60.98%
2021,2,28,Philadelphia,39.39%
2021,2,21,Green Bay,68.75%
2021,2,21,Houston,72.50%
2021,2,21,New Orleans,57.14%
2021,2,21,Buffalo,58.33%
2021,2,21,Carolina,48.65%
2021,2,21,Minnesota,70.00%
2021,2,21,Seattle,40.74%
2021,2,21,Arizona,70.37%
2021,2,21,Las Vegas,63.16%
2021,2,21,Indianapolis,58.70%
2021,2,21,Kansas City,53.06%
2021,2,21,LA Rams,77.78%
2021,2,21,Miami,61.02%
2021,2,21,LA Chargers,70.97%
2021,2,21,Pittsburgh,69.12%
2021,2,21,Chicago,65.52%
2021,2,21,Tennessee,69.23%
2021,2,21,San Francisco,67.57%
2021,2,21,Atlanta,65.91%
2021,2,21,Dallas,61.70%
2021,2,21,Washington,59.09%
2021,2,21,New England,70.97%
2021,2,21,Tampa Bay,72.41%
2021,2,21,Detroit,64.52%
2021,2,21,Cincinnati,28.57%
2021,2,21,Baltimore,54.05%
2021,2,21,Jacksonville,61.90%
2021,2,21,Cleveland,62.16%
2021,2,21,NY Giants,68.00%
2021,2,21,NY Jets,67.65%
2021,2,21,Denver,60.98%
2021,2,21,Philadelphia,39.39%
2021,2,14,Green Bay,68.75%
2021,2,14,Houston,72.50%
2021,2,14,New Orleans,57.14%
2021,2,14,Buffalo,58.33%
2021,2,14,Carolina,48.65%
2021,2,14,Minnesota,70.00%
2021,2,14,Seattle,40.74%
2021,2,14,Arizona,70.37%
2021,2,14,Las Vegas,63.16%
2021,2,14,Indianapolis,58.70%
2021,2,14,Kansas City,53.06%
2021,2,14,LA Rams,77.78%
2021,2,14,Miami,61.02%
2021,2,14,LA Chargers,70.97%
2021,2,14,Pittsburgh,69.12%
2021,2,14,Chicago,65.52%
2021,2,14,Tennessee,69.23%
2021,2,14,San Francisco,67.57%
2021,2,14,Atlanta,65.91%
2021,2,14,Dallas,61.70%
2021,2,14,Washington,59.09%
2021,2,14,New England,70.97%
2021,2,14,Tampa Bay,72.41%
2021,2,14,Detroit,64.52%
2021,2,14,Cincinnati,28.57%
2021,2,14,Baltimore,54.05%
2021,2,14,Jacksonville,61.90%
2021,2,14,Cleveland,62.16%
2021,2,14,NY Giants,68.00%
2021,2,14,NY Jets,67.65%
2021,2,14,Denver,60.98%
2021,2,14,Philadelphia,39.39%
2021,2,7,Green Bay,68.75%
2021,2,7,Houston,72.50%
2021,2,7,New Orleans,57.14%
2021,2,7,Buffalo,58.33%
2021,2,7,Carolina,48.65%
2021,2,7,Minnesota,70.00%
2021,2,7,Seattle,40.74%
2021,2,7,Kansas City,76.32%
2021,2,7,Arizona,70.37%
2021,2,7,Las Vegas,63.16%
2021,2,7,Indianapolis,58.70%
2021,2,7,LA Rams,77.78%
2021,2,7,Miami,61.02%
2021,2,7,LA Chargers,70.97%
2021,2,7,Pittsburgh,69.12%
2021,2,7,Chicago,65.52%
2021,2,7,Tennessee,69.23%
2021,2,7,San Francisco,67.57%
2021,2,7,Atlanta,65.91%
2021,2,7,Dallas,61.70%
2021,2,7,Washington,59.09%
2021,2,7,New England,70.97%
2021,2,7,Detroit,64.52%
2021,2,7,Cincinnati,28.57%
2021,2,7,Tampa Bay,55.56%
2021,2,7,Baltimore,54.05%
2021,2,7,Jacksonville,61.90%
2021,2,7,Cleveland,62.16%
2021,2,7,NY Giants,68.00%
2021,2,7,NY Jets,67.65%
2021,2,7,Denver,60.98%
2021,2,7,Philadelphia,39.39%
2021,1,31,New Orleans,75.00%
2021,1,31,Green Bay,84.00%
2021,1,31,Houston,72.73%
2021,1,31,Seattle,62.50%
2021,1,31,Carolina,67.86%
2021,1,31,Buffalo,75.00%
2021,1,31,Minnesota,65.85%
2021,1,31,Indianapolis,61.76%
2021,1,31,Las Vegas,61.76%
2021,1,31,Arizona,62.00%
2021,1,31,LA Rams,55.81%
2021,1,31,Miami,74.29%
2021,1,31,Kansas City,53.33%
2021,1,31,Pittsburgh,69.39%
2021,1,31,Tampa Bay,73.81%
2021,1,31,LA Chargers,63.64%
2021,1,31,Cincinnati,76.32%
2021,1,31,Tennessee,42.31%
2021,1,31,San Francisco,59.09%
2021,1,31,Atlanta,77.14%
2021,1,31,Dallas,73.33%
2021,1,31,Chicago,66.67%
2021,1,31,Washington,55.32%
2021,1,31,Detroit,67.74%
2021,1,31,New England,42.86%
2021,1,31,Baltimore,65.38%
2021,1,31,Jacksonville,64.86%
2021,1,31,Cleveland,52.83%
2021,1,31,NY Giants,58.54%
2021,1,31,NY Jets,51.52%
2021,1,31,Philadelphia,53.85%
2021,1,31,Denver,51.06%
2021,1,24,New Orleans,44.12%
2021,1,24,Seattle,66.67%
2021,1,24,Houston,80.49%
2021,1,24,Green Bay,68.97%
2021,1,24,Carolina,60.00%
2021,1,24,Buffalo,70.00%
2021,1,24,LA Rams,64.71%
2021,1,24,Indianapolis,75.86%
2021,1,24,Arizona,75.68%
2021,1,24,Las Vegas,60.61%
2021,1,24,Minnesota,68.57%
2021,1,24,Kansas City,55.32%
2021,1,24,Tennessee,77.78%
2021,1,24,Miami,76.92%
2021,1,24,LA Chargers,68.75%
2021,1,24,Pittsburgh,52.63%
2021,1,24,Washington,69.09%
2021,1,24,San Francisco,60.47%
2021,1,24,Tampa Bay,68.89%
2021,1,24,New England,62.96%
2021,1,24,Cincinnati,53.85%
2021,1,24,Dallas,58.82%
2021,1,24,Chicago,71.43%
2021,1,24,Cleveland,84.38%
2021,1,24,Atlanta,69.39%
2021,1,24,Detroit,71.05%
2021,1,24,Baltimore,73.08%
2021,1,24,Jacksonville,75.86%
2021,1,24,NY Giants,59.38%
2021,1,24,NY Jets,70.97%
2021,1,24,Denver,62.50%
2021,1,24,Philadelphia,54.55%
2021,1,17,New Orleans,73.68%
2021,1,17,Seattle,78.13%
2021,1,17,Carolina,75.00%
2021,1,17,Green Bay,78.79%
2021,1,17,Houston,70.00%
2021,1,17,Buffalo,55.81%
2021,1,17,Kansas City,70.59%
2021,1,17,LA Rams,64.00%
2021,1,17,Las Vegas,69.57%
2021,1,17,Minnesota,64.86%
2021,1,17,Indianapolis,67.86%
2021,1,17,Arizona,68.57%
2021,1,17,Pittsburgh,56.76%
2021,1,17,Tennessee,79.17%
2021,1,17,Miami,57.14%
2021,1,17,San Francisco,55.56%
2021,1,17,LA Chargers,81.82%
2021,1,17,New England,60.87%
2021,1,17,Washington,46.88%
2021,1,17,Cincinnati,73.68%
2021,1,17,Dallas,69.57%
2021,1,17,Tampa Bay,65.22%
2021,1,17,Chicago,72.73%
2021,1,17,Atlanta,66.67%
2021,1,17,Detroit,67.50%
2021,1,17,Baltimore,57.14%
2021,1,17,Cleveland,60.42%
2021,1,17,NY Giants,54.17%
2021,1,17,Jacksonville,57.41%
2021,1,17,NY Jets,53.85%
2021,1,17,Philadelphia,56.67%
2021,1,17,Denver,77.78%
2021,1,10,New Orleans,72.97%
2021,1,10,Seattle,62.79%
2021,1,10,Buffalo,80.00%
2021,1,10,Carolina,52.78%
2021,1,10,Green Bay,73.53%
2021,1,10,Houston,68.42%
2021,1,10,LA Rams,78.72%
2021,1,10,Kansas City,62.50%
2021,1,10,Las Vegas,59.57%
2021,1,10,Minnesota,65.12%
2021,1,10,Indianapolis,77.14%
2021,1,10,Pittsburgh,62.26%
2021,1,10,Arizona,53.85%
2021,1,10,San Francisco,66.67%
2021,1,10,Miami,66.67%
2021,1,10,Washington,67.39%
2021,1,10,New England,63.64%
2021,1,10,Tennessee,64.44%
2021,1,10,Tampa Bay,65.85%
2021,1,10,Dallas,64.58%
2021,1,10,Cincinnati,62.96%
2021,1,10,LA Chargers,49.06%
2021,1,10,Chicago,76.47%
2021,1,10,Atlanta,48.72%
2021,1,10,Detroit,64.29%
2021,1,10,Baltimore,70.59%
2021,1,10,NY Giants,59.09%
2021,1,10,Cleveland,76.47%
2021,1,10,Jacksonville,66.67%
2021,1,10,NY Jets,60.87%
2021,1,10,Philadelphia,40.74%
2021,1,10,Denver,53.57%
2021,1,3,New Orleans,56.25%
2021,1,3,Seattle,70.97%
2021,1,3,Carolina,52.78%
2021,1,3,Las Vegas,64.10%
2021,1,3,Kansas City,74.00%
2021,1,3,Buffalo,76.00%
2021,1,3,Houston,68.00%
2021,1,3,Green Bay,72.41%
2021,1,3,Arizona,67.65%
2021,1,3,Minnesota,75.56%
2021,1,3,Pittsburgh,70.59%
2021,1,3,LA Rams,61.29%
2021,1,3,San Francisco,68.57%
2021,1,3,Miami,61.54%
2021,1,3,Indianapolis,54.55%
2021,1,3,Washington,74.07%
2021,1,3,LA Chargers,59.62%
2021,1,3,New England,50.00%
2021,1,3,Tennessee,59.09%
2021,1,3,Atlanta,56.41%
2021,1,3,Tampa Bay,65.85%
2021,1,3,Dallas,71.43%
2021,1,3,Cincinnati,58.62%
2021,1,3,NY Giants,57.89%
2021,1,3,Detroit,65.12%
2021,1,3,Baltimore,50.00%
2021,1,3,Chicago,56.52%
2021,1,3,Jacksonville,57.14%
2021,1,3,Cleveland,65.52%
2021,1,3,Philadelphia,56.52%
2021,1,3,NY Jets,59.26%
2021,1,3,Denver,11.11%
2020,12,27,New Orleans,75.00%
2020,12,27,Seattle,66.67%
2020,12,27,Houston,80.49%
2020,12,27,Green Bay,68.97%
2020,12,27,Carolina,60.00%
2020,12,27,Buffalo,70.00%
2020,12,27,LA Rams,64.71%
2020,12,27,Indianapolis,75.86%
2020,12,27,Kansas City,55.32%
2020,12,27,Minnesota,65.85%
2020,12,27,Las Vegas,61.76%
2020,12,27,Arizona,62.00%
2020,12,27,Miami,74.29%
2020,12,27,Tennessee,77.78%
2020,12,27,LA Chargers,68.75%
2020,12,27,Tampa Bay,73.81%
2020,12,27,Pittsburgh,52.63%
2020,12,27,Washington,69.09%
2020,12,27,New England,62.96%
2020,12,27,San Francisco,59.09%
2020,12,27,Cincinnati,53.85%
2020,12,27,Dallas,58.82%
2020,12,27,Chicago,71.43%
2020,12,27,Detroit,67.74%
2020,12,27,Cleveland,84.38%
2020,12,27,Atlanta,69.39%
2020,12,27,Baltimore,73.08%
2020,12,27,Jacksonville,75.86%
2020,12,27,NY Giants,59.38%
2020,12,27,NY Jets,70.97%
2020,12,27,Denver,62.50%
2020,12,27,Philadelphia,54.55%
2020,12,20,New Orleans,73.68%
2020,12,20,Seattle,78.13%
2020,12,20,Green Bay,68.97%
2020,12,20,Carolina,60.00%
2020,12,20,Houston,70.00%
2020,12,20,Buffalo,70.00%
2020,12,20,Kansas City,70.59%
2020,12,20,LA Rams,64.00%
2020,12,20,Las Vegas,60.61%
2020,12,20,Minnesota,64.86%
2020,12,20,Indianapolis,67.86%
2020,12,20,Arizona,68.57%
2020,12,20,Pittsburgh,56.76%
2020,12,20,LA Chargers,68.75%
2020,12,20,Tennessee,79.17%
2020,12,20,Miami,57.14%
2020,12,20,San Francisco,55.56%
2020,12,20,New England,60.87%
2020,12,20,Washington,46.88%
2020,12,20,Cincinnati,73.68%
2020,12,20,Dallas,69.57%
2020,12,20,Tampa Bay,65.22%
2020,12,20,Chicago,72.73%
2020,12,20,Atlanta,66.67%
2020,12,20,Detroit,67.50%
2020,12,20,Baltimore,57.14%
2020,12,20,Cleveland,60.42%
2020,12,20,NY Giants,54.17%
2020,12,20,Jacksonville,57.41%
2020,12,20,NY Jets,53.85%
2020,12,20,Denver,62.50%
2020,12,20,Philadelphia,56.67%
2020,12,13,New Orleans,72.97%
2020,12,13,Seattle,62.79%
2020,12,13,Buffalo,80.00%
2020,12,13,Carolina,52.78%
2020,12,13,Green Bay,73.53%
2020,12,13,Houston,68.42%
2020,12,13,Kansas City,62.50%
2020,12,13,LA Rams,64.00%
2020,12,13,Las Vegas,59.57%
2020,12,13,Minnesota,65.12%
2020,12,13,Indianapolis,77.14%
2020,12,13,Pittsburgh,62.26%
2020,12,13,Arizona,53.85%
2020,12,13,San Francisco,66.67%
2020,12,13,Miami,66.67%
2020,12,13,Washington,67.39%
2020,12,13,New England,60.87%
2020,12,13,Tennessee,64.44%
2020,12,13,Tampa Bay,65.85%
2020,12,13,Dallas,64.58%
2020,12,13,Cincinnati,62.96%
2020,12,13,LA Chargers,49.06%
2020,12,13,Chicago,76.47%
2020,12,13,Atlanta,48.72%
2020,12,13,Detroit,64.29%
2020,12,13,Baltimore,70.59%
2020,12,13,NY Giants,59.09%
2020,12,13,Cleveland,76.47%
2020,12,13,Jacksonville,66.67%
2020,12,13,NY Jets,60.87%
2020,12,13,Philadelphia,40.74%
2020,12,13,Denver,53.57%
2020,12,6,New Orleans,56.25%
2020,12,6,Seattle,70.97%
2020,12,6,Carolina,52.78%
2020,12,6,Las Vegas,64.10%
2020,12,6,Kansas City,74.00%
2020,12,6,Buffalo,76.00%
2020,12,6,Houston,68.00%
2020,12,6,Green Bay,72.41%
2020,12,6,Arizona,67.65%
2020,12,6,Minnesota,75.56%
2020,12,6,Pittsburgh,70.59%
2020,12,6,LA Rams,61.29%
2020,12,6,San Francisco,68.57%
2020,12,6,Miami,61.54%
2020,12,6,Indianapolis,54.55%
2020,12,6,Washington,74.07%
2020,12,6,LA Chargers,59.62%
2020,12,6,New England,50.00%
2020,12,6,Tennessee,59.09%
2020,12,6,Atlanta,56.41%
2020,12,6,Tampa Bay,65.85%
2020,12,6,Dallas,71.43%
2020,12,6,Cincinnati,58.62%
2020,12,6,NY Giants,57.89%
2020,12,6,Detroit,65.12%
2020,12,6,Baltimore,50.00%
2020,12,6,Chicago,56.52%
2020,12,6,Jacksonville,57.14%
2020,12,6,Cleveland,65.52%
2020,12,6,Philadelphia,56.52%
2020,12,6,NY Jets,59.26%
2020,12,6,Denver,11.11%
2020,11,29,New Orleans,81.08%
2020,11,29,Carolina,82.14%
2020,11,29,Las Vegas,66.67%
2020,11,29,Seattle,66.00%
2020,11,29,Miami,68.97%
2020,11,29,Indianapolis,65.91%
2020,11,29,Houston,74.36%
2020,11,29,Pittsburgh,65.31%
2020,11,29,Tennessee,58.06%
2020,11,29,LA Rams,69.70%
2020,11,29,Buffalo,69.77%
2020,11,29,San Francisco,80.00%
2020,11,29,Arizona,70.83%
2020,11,29,Cincinnati,75.00%
2020,11,29,Atlanta,73.81%
