year,month,day,team,third_down_conversion_percentage
2021,11,7,Indianapolis,50.00%
2021,11,7,Miami,28.57%
2021,11,7,Las Vegas,33.33%
2021,11,7,Houston,33.33%
2021,11,7,Cincinnati,40.00%
2021,11,7,NY Giants,33.33%
2021,11,7,New Orleans,35.71%
2021,11,7,Baltimore,31.25%
2021,11,7,Minnesota,7.69%
2021,11,7,Carolina,58.82%
2021,11,7,Chicago,53.33%
2021,11,7,Washington,35.71%
2021,11,7,Denver,53.85%
2021,11,7,Detroit,35.71%
2021,11,7,San Francisco,40.00%
2021,11,7,Jacksonville,35.71%
2021,11,7,Seattle,30.00%
2021,10,31,Kansas City,36.36%
2021,10,31,Buffalo,53.85%
2021,10,31,LA Rams,69.23%
2021,10,31,Tampa Bay,33.33%
2021,10,31,Dallas,23.08%
2021,10,31,Atlanta,46.15%
2021,10,31,LA Chargers,25.00%
2021,10,31,New England,58.33%
2021,10,31,Arizona,40.00%
2021,10,31,Pittsburgh,35.71%
2021,10,31,Tennessee,66.67%
2021,10,31,Green Bay,42.86%
2021,10,31,Cleveland,60.00%
2021,10,31,Miami,63.64%
2021,10,31,NY Jets,53.85%
2021,10,31,Houston,15.38%
2021,10,31,Minnesota,43.75%
2021,10,31,Philadelphia,46.15%
2021,10,31,Las Vegas,33.33%
2021,10,31,Cincinnati,30.77%
2021,10,31,Indianapolis,42.86%
2021,10,31,NY Giants,43.75%
2021,10,31,New Orleans,15.38%
2021,10,31,Baltimore,31.25%
2021,10,31,Washington,36.36%
2021,10,31,Detroit,40.00%
2021,10,31,Denver,45.45%
2021,10,31,Carolina,13.33%
2021,10,31,Seattle,25.00%
2021,10,31,San Francisco,9.09%
2021,10,31,Jacksonville,25.00%
2021,10,31,Chicago,18.18%
2021,10,24,Kansas City,64.71%
2021,10,24,Buffalo,53.85%
2021,10,24,Tampa Bay,53.85%
2021,10,24,Dallas,23.08%
2021,10,24,Atlanta,64.29%
2021,10,24,LA Chargers,25.00%
2021,10,24,Houston,52.94%
2021,10,24,Arizona,53.33%
2021,10,24,LA Rams,18.18%
2021,10,24,New Orleans,36.36%
2021,10,24,Pittsburgh,35.71%
2021,10,24,New England,33.33%
2021,10,24,Cleveland,60.00%
2021,10,24,Las Vegas,36.36%
2021,10,24,Green Bay,25.00%
2021,10,24,Cincinnati,53.33%
2021,10,24,Minnesota,43.75%
2021,10,24,Miami,52.94%
2021,10,24,Philadelphia,30.00%
2021,10,24,Tennessee,40.00%
2021,10,24,NY Jets,50.00%
2021,10,24,Indianapolis,30.00%
2021,10,24,Baltimore,54.55%
2021,10,24,NY Giants,26.67%
2021,10,24,San Francisco,27.27%
2021,10,24,Carolina,16.67%
2021,10,24,Washington,50.00%
2021,10,24,Chicago,36.36%
2021,10,24,Detroit,35.71%
2021,10,24,Seattle,25.00%
2021,10,24,Denver,45.45%
2021,10,24,Jacksonville,25.00%
2021,10,17,Kansas City,41.67%
2021,10,17,Dallas,57.14%
2021,10,17,Tampa Bay,53.85%
2021,10,17,Buffalo,45.45%
2021,10,17,LA Chargers,46.15%
2021,10,17,LA Rams,20.00%
2021,10,17,Atlanta,64.29%
2021,10,17,Pittsburgh,58.33%
2021,10,17,New England,54.55%
2021,10,17,New Orleans,36.36%
2021,10,17,Green Bay,36.36%
2021,10,17,Houston,42.86%
2021,10,17,Las Vegas,35.71%
2021,10,17,Arizona,30.00%
2021,10,17,NY Giants,30.77%
2021,10,17,Cleveland,33.33%
2021,10,17,Indianapolis,50.00%
2021,10,17,Minnesota,38.46%
2021,10,17,Philadelphia,30.00%
2021,10,17,Tennessee,45.45%
2021,10,17,Carolina,33.33%
2021,10,17,NY Jets,50.00%
2021,10,17,Cincinnati,35.71%
2021,10,17,San Francisco,27.27%
2021,10,17,Miami,28.57%
2021,10,17,Seattle,40.00%
2021,10,17,Baltimore,37.50%
2021,10,17,Chicago,46.15%
2021,10,17,Jacksonville,30.00%
2021,10,17,Detroit,27.27%
2021,10,17,Washington,31.25%
2021,10,17,Denver,16.67%
2021,10,10,Kansas City,90.00%
2021,10,10,Dallas,33.33%
2021,10,10,Buffalo,41.67%
2021,10,10,LA Chargers,30.77%
2021,10,10,LA Rams,20.00%
2021,10,10,New Orleans,61.54%
2021,10,10,Green Bay,60.00%
2021,10,10,Tampa Bay,47.37%
2021,10,10,Arizona,61.54%
2021,10,10,Las Vegas,30.77%
2021,10,10,NY Giants,36.36%
2021,10,10,Philadelphia,50.00%
2021,10,10,Houston,11.11%
2021,10,10,Atlanta,62.50%
2021,10,10,Cleveland,38.89%
2021,10,10,New England,22.22%
2021,10,10,Pittsburgh,36.36%
2021,10,10,Carolina,30.77%
2021,10,10,Minnesota,31.25%
2021,10,10,Cincinnati,55.56%
2021,10,10,San Francisco,14.29%
2021,10,10,Tennessee,26.32%
2021,10,10,Indianapolis,40.00%
2021,10,10,Miami,27.27%
2021,10,10,NY Jets,42.86%
2021,10,10,Seattle,40.00%
2021,10,10,Baltimore,41.18%
2021,10,10,Detroit,36.36%
2021,10,10,Jacksonville,50.00%
2021,10,10,Denver,21.43%
2021,10,10,Washington,44.44%
2021,10,10,Chicago,12.50%
2021,10,3,Kansas City,60.00%
2021,10,3,LA Chargers,36.36%
2021,10,3,LA Rams,66.67%
2021,10,3,Dallas,50.00%
2021,10,3,Buffalo,60.00%
2021,10,3,Houston,11.11%
2021,10,3,San Francisco,63.64%
2021,10,3,Las Vegas,53.33%
2021,10,3,NY Giants,50.00%
2021,10,3,New England,36.84%
2021,10,3,Tennessee,50.00%
2021,10,3,Carolina,45.45%
2021,10,3,Minnesota,64.29%
2021,10,3,Cleveland,47.06%
2021,10,3,Pittsburgh,47.37%
2021,10,3,Tampa Bay,46.15%
2021,10,3,Philadelphia,33.33%
2021,10,3,Miami,33.33%
2021,10,3,New Orleans,46.15%
2021,10,3,Seattle,37.50%
2021,10,3,Cincinnati,55.56%
2021,10,3,Green Bay,45.45%
2021,10,3,Indianapolis,25.00%
2021,10,3,Arizona,11.11%
2021,10,3,Denver,36.36%
2021,10,3,NY Jets,30.77%
2021,10,3,Jacksonville,50.00%
2021,10,3,Atlanta,38.46%
2021,10,3,Chicago,9.09%
2021,10,3,Detroit,30.00%
2021,10,3,Baltimore,10.00%
2021,10,3,Washington,18.18%
2021,9,26,LA Chargers,41.67%
2021,9,26,Dallas,60.00%
2021,9,26,Kansas City,16.67%
2021,9,26,New England,25.00%
2021,9,26,Buffalo,53.85%
2021,9,26,Houston,11.11%
2021,9,26,Arizona,33.33%
2021,9,26,LA Rams,33.33%
2021,9,26,Philadelphia,41.67%
2021,9,26,Las Vegas,38.46%
2021,9,26,Carolina,45.45%
2021,9,26,Chicago,40.00%
2021,9,26,Indianapolis,45.45%
2021,9,26,NY Giants,33.33%
2021,9,26,Miami,44.44%
2021,9,26,Tennessee,42.86%
2021,9,26,Baltimore,54.55%
2021,9,26,Tampa Bay,33.33%
2021,9,26,San Francisco,42.86%
2021,9,26,Seattle,33.33%
2021,9,26,Pittsburgh,41.67%
2021,9,26,Cleveland,44.44%
2021,9,26,Denver,18.18%
2021,9,26,NY Jets,38.46%
2021,9,26,New Orleans,18.18%
2021,9,26,Cincinnati,46.15%
2021,9,26,Detroit,44.44%
2021,9,26,Jacksonville,36.36%
2021,9,26,Green Bay,55.56%
2021,9,26,Atlanta,40.00%
2021,9,26,Minnesota,20.00%
2021,9,26,Washington,30.77%
2021,9,19,LA Chargers,73.68%
2021,9,19,Kansas City,69.23%
2021,9,19,New England,68.75%
2021,9,19,Houston,57.14%
2021,9,19,LA Rams,54.55%
2021,9,19,Arizona,53.85%
2021,9,19,Dallas,52.94%
2021,9,19,New Orleans,50.00%
2021,9,19,Denver,46.67%
2021,9,19,Las Vegas,46.67%
2021,9,19,Philadelphia,46.15%
2021,9,19,Chicago,45.45%
2021,9,19,Tampa Bay,45.45%
2021,9,19,Seattle,44.44%
2021,9,19,Buffalo,44.44%
2021,9,19,NY Giants,33.33%
2021,9,19,Indianapolis,38.46%
2021,9,19,Minnesota,37.50%
2021,9,19,Miami,36.36%
2021,9,19,Tennessee,35.71%
2021,9,19,Pittsburgh,33.33%
2021,9,19,San Francisco,33.33%
2021,9,19,NY Jets,30.77%
2021,9,19,Washington,30.77%
2021,9,19,Carolina,28.57%
2021,9,19,Cleveland,28.57%
2021,9,19,Jacksonville,27.27%
2021,9,19,Detroit,26.67%
2021,9,19,Baltimore,25.00%
2021,9,19,Cincinnati,21.43%
2021,9,19,Atlanta,21.43%
2021,9,19,Green Bay,10.00%
2021,9,12,Dallas,52.94%
2021,9,12,Tampa Bay,45.45%
2021,9,5,Green Bay,57.14%
2021,9,5,Baltimore,41.18%
2021,9,5,Kansas City,23.08%
2021,9,5,Buffalo,35.71%
2021,9,5,New Orleans,54.55%
2021,9,5,Las Vegas,38.46%
2021,9,5,Tennessee,33.33%
2021,9,5,Cleveland,46.15%
2021,9,5,Tampa Bay,33.33%
2021,9,5,LA Chargers,42.86%
2021,9,5,Atlanta,50.00%
2021,9,5,Houston,41.67%
2021,9,5,Pittsburgh,53.33%
2021,9,5,LA Rams,25.00%
2021,9,5,Detroit,50.00%
2021,9,5,Minnesota,30.77%
2021,9,5,New England,50.00%
2021,9,5,Indianapolis,52.94%
2021,9,5,Jacksonville,33.33%
2021,9,5,Dallas,35.29%
2021,9,5,Washington,50.00%
2021,9,5,Arizona,22.22%
2021,9,5,San Francisco,40.00%
2021,9,5,Carolina,11.11%
2021,9,5,Denver,43.75%
2021,9,5,Miami,21.43%
2021,9,5,Seattle,14.29%
2021,9,5,Philadelphia,35.71%
2021,9,5,NY Giants,0.00%
2021,9,5,Cincinnati,11.11%
2021,9,5,NY Jets,30.00%
2021,9,5,Chicago,10.00%
2021,2,28,Green Bay,57.14%
2021,2,28,Baltimore,41.18%
2021,2,28,Kansas City,23.08%
2021,2,28,Buffalo,35.71%
2021,2,28,New Orleans,54.55%
2021,2,28,Las Vegas,38.46%
2021,2,28,Tennessee,33.33%
2021,2,28,Cleveland,46.15%
2021,2,28,Tampa Bay,33.33%
2021,2,28,LA Chargers,42.86%
2021,2,28,Atlanta,50.00%
2021,2,28,Houston,41.67%
2021,2,28,Pittsburgh,53.33%
2021,2,28,LA Rams,25.00%
2021,2,28,Detroit,50.00%
2021,2,28,Minnesota,30.77%
2021,2,28,New England,50.00%
2021,2,28,Indianapolis,52.94%
2021,2,28,Jacksonville,33.33%
2021,2,28,Dallas,35.29%
2021,2,28,Washington,50.00%
2021,2,28,Arizona,22.22%
2021,2,28,San Francisco,40.00%
2021,2,28,Carolina,11.11%
2021,2,28,Denver,43.75%
2021,2,28,Miami,21.43%
2021,2,28,Seattle,14.29%
2021,2,28,Philadelphia,35.71%
2021,2,28,NY Giants,0.00%
2021,2,28,Cincinnati,11.11%
2021,2,28,NY Jets,30.00%
2021,2,28,Chicago,10.00%
2021,2,21,Green Bay,57.14%
2021,2,21,Baltimore,41.18%
2021,2,21,Kansas City,23.08%
2021,2,21,Buffalo,35.71%
2021,2,21,New Orleans,54.55%
2021,2,21,Las Vegas,38.46%
2021,2,21,Tennessee,33.33%
2021,2,21,Cleveland,46.15%
2021,2,21,Tampa Bay,33.33%
2021,2,21,LA Chargers,42.86%
2021,2,21,Atlanta,50.00%
2021,2,21,Houston,41.67%
2021,2,21,Pittsburgh,53.33%
2021,2,21,LA Rams,25.00%
2021,2,21,Detroit,50.00%
2021,2,21,Minnesota,30.77%
2021,2,21,New England,50.00%
2021,2,21,Indianapolis,52.94%
2021,2,21,Jacksonville,33.33%
2021,2,21,Dallas,35.29%
2021,2,21,Washington,50.00%
2021,2,21,Arizona,22.22%
2021,2,21,San Francisco,40.00%
2021,2,21,Carolina,11.11%
2021,2,21,Denver,43.75%
2021,2,21,Miami,21.43%
2021,2,21,Seattle,14.29%
2021,2,21,Philadelphia,35.71%
2021,2,21,NY Giants,0.00%
2021,2,21,Cincinnati,11.11%
2021,2,21,NY Jets,30.00%
2021,2,21,Chicago,10.00%
2021,2,14,Green Bay,57.14%
2021,2,14,Baltimore,41.18%
2021,2,14,Kansas City,23.08%
2021,2,14,Buffalo,35.71%
2021,2,14,New Orleans,54.55%
2021,2,14,Las Vegas,38.46%
2021,2,14,Tennessee,33.33%
2021,2,14,Cleveland,46.15%
2021,2,14,Tampa Bay,33.33%
2021,2,14,LA Chargers,42.86%
2021,2,14,Atlanta,50.00%
2021,2,14,Houston,41.67%
2021,2,14,Pittsburgh,53.33%
2021,2,14,LA Rams,25.00%
2021,2,14,Detroit,50.00%
2021,2,14,Minnesota,30.77%
2021,2,14,New England,50.00%
2021,2,14,Indianapolis,52.94%
2021,2,14,Jacksonville,33.33%
2021,2,14,Dallas,35.29%
2021,2,14,Washington,50.00%
2021,2,14,Arizona,22.22%
2021,2,14,San Francisco,40.00%
2021,2,14,Carolina,11.11%
2021,2,14,Denver,43.75%
2021,2,14,Miami,21.43%
2021,2,14,Seattle,14.29%
2021,2,14,Philadelphia,35.71%
2021,2,14,NY Giants,0.00%
2021,2,14,Cincinnati,11.11%
2021,2,14,NY Jets,30.00%
2021,2,14,Chicago,10.00%
2021,2,7,Green Bay,57.14%
2021,2,7,Kansas City,60.00%
2021,2,7,Baltimore,41.18%
2021,2,7,Buffalo,35.71%
2021,2,7,New Orleans,54.55%
2021,2,7,Las Vegas,38.46%
2021,2,7,Tennessee,33.33%
2021,2,7,Tampa Bay,64.29%
2021,2,7,Cleveland,46.15%
2021,2,7,LA Chargers,42.86%
2021,2,7,Atlanta,50.00%
2021,2,7,Houston,41.67%
2021,2,7,Pittsburgh,53.33%
2021,2,7,LA Rams,25.00%
2021,2,7,Detroit,50.00%
2021,2,7,Minnesota,30.77%
2021,2,7,New England,50.00%
2021,2,7,Indianapolis,52.94%
2021,2,7,Jacksonville,33.33%
2021,2,7,Dallas,35.29%
2021,2,7,Washington,50.00%
2021,2,7,Arizona,22.22%
2021,2,7,San Francisco,40.00%
2021,2,7,Carolina,11.11%
2021,2,7,Denver,43.75%
2021,2,7,Miami,21.43%
2021,2,7,Seattle,14.29%
2021,2,7,Philadelphia,35.71%
2021,2,7,NY Giants,0.00%
2021,2,7,Cincinnati,11.11%
2021,2,7,NY Jets,30.00%
2021,2,7,Chicago,10.00%
2021,1,31,Buffalo,41.67%
2021,1,31,Green Bay,50.00%
2021,1,31,Kansas City,38.46%
2021,1,31,Baltimore,72.73%
2021,1,31,Las Vegas,0.00%
2021,1,31,New Orleans,55.56%
2021,1,31,Tennessee,45.45%
2021,1,31,Cleveland,40.00%
2021,1,31,LA Chargers,25.00%
2021,1,31,LA Rams,47.37%
2021,1,31,Atlanta,50.00%
2021,1,31,Houston,44.44%
2021,1,31,Tampa Bay,40.00%
2021,1,31,Pittsburgh,36.36%
2021,1,31,Minnesota,33.33%
2021,1,31,Jacksonville,41.67%
2021,1,31,Dallas,46.15%
2021,1,31,Seattle,47.06%
2021,1,31,Detroit,10.00%
2021,1,31,Arizona,25.00%
2021,1,31,Carolina,40.00%
2021,1,31,New England,33.33%
2021,1,31,Indianapolis,38.46%
2021,1,31,Miami,33.33%
2021,1,31,Washington,46.67%
2021,1,31,San Francisco,22.22%
2021,1,31,Denver,41.18%
2021,1,31,NY Giants,10.00%
2021,1,31,Philadelphia,41.18%
2021,1,31,Cincinnati,46.15%
2021,1,31,Chicago,50.00%
2021,1,31,NY Jets,38.89%
2021,1,24,Buffalo,69.23%
2021,1,24,Las Vegas,38.46%
2021,1,24,Green Bay,41.67%
2021,1,24,Kansas City,50.00%
2021,1,24,Baltimore,66.67%
2021,1,24,LA Chargers,58.33%
2021,1,24,Cleveland,69.23%
2021,1,24,Tennessee,81.82%
2021,1,24,New Orleans,9.09%
2021,1,24,LA Rams,18.18%
2021,1,24,Atlanta,40.00%
2021,1,24,Houston,53.33%
2021,1,24,Tampa Bay,40.00%
2021,1,24,Detroit,58.33%
2021,1,24,Minnesota,36.36%
2021,1,24,Pittsburgh,25.00%
2021,1,24,Arizona,30.00%
2021,1,24,Jacksonville,41.67%
2021,1,24,New England,22.22%
2021,1,24,Dallas,40.00%
2021,1,24,Miami,58.33%
2021,1,24,Carolina,33.33%
2021,1,24,Indianapolis,54.55%
2021,1,24,Seattle,41.67%
2021,1,24,San Francisco,40.00%
2021,1,24,NY Giants,45.45%
2021,1,24,Washington,58.82%
2021,1,24,Denver,42.86%
2021,1,24,Philadelphia,33.33%
2021,1,24,Cincinnati,28.57%
2021,1,24,NY Jets,41.18%
2021,1,24,Chicago,50.00%
2021,1,17,Las Vegas,66.67%
2021,1,17,Green Bay,72.73%
2021,1,17,Buffalo,50.00%
2021,1,17,Kansas City,45.45%
2021,1,17,New Orleans,41.67%
2021,1,17,LA Rams,21.43%
2021,1,17,LA Chargers,60.00%
2021,1,17,Baltimore,54.55%
2021,1,17,Pittsburgh,10.00%
2021,1,17,Atlanta,75.00%
2021,1,17,Tampa Bay,45.45%
2021,1,17,Cleveland,41.67%
2021,1,17,Minnesota,33.33%
2021,1,17,Arizona,38.89%
2021,1,17,Houston,50.00%
2021,1,17,Tennessee,33.33%
2021,1,17,New England,23.08%
2021,1,17,Detroit,50.00%
2021,1,17,Jacksonville,35.71%
2021,1,17,Carolina,42.86%
2021,1,17,Dallas,45.45%
2021,1,17,San Francisco,26.67%
2021,1,17,Seattle,54.55%
2021,1,17,Indianapolis,72.73%
2021,1,17,Miami,46.67%
2021,1,17,NY Giants,25.00%
2021,1,17,Denver,37.50%
2021,1,17,Philadelphia,30.77%
2021,1,17,Cincinnati,56.25%
2021,1,17,Washington,20.00%
2021,1,17,NY Jets,33.33%
2021,1,17,Chicago,30.00%
2021,1,10,Buffalo,44.44%
2021,1,10,Kansas City,30.00%
2021,1,10,Las Vegas,42.86%
2021,1,10,Green Bay,41.67%
2021,1,10,New Orleans,47.06%
2021,1,10,LA Rams,60.00%
2021,1,10,Pittsburgh,40.00%
2021,1,10,Minnesota,43.75%
2021,1,10,Baltimore,45.45%
2021,1,10,New England,42.86%
2021,1,10,LA Chargers,38.89%
2021,1,10,Cleveland,62.50%
2021,1,10,Arizona,33.33%
2021,1,10,Tampa Bay,33.33%
2021,1,10,Tennessee,20.00%
2021,1,10,Jacksonville,30.77%
2021,1,10,San Francisco,54.55%
2021,1,10,Houston,38.46%
2021,1,10,Atlanta,38.46%
2021,1,10,Carolina,42.86%
2021,1,10,Detroit,54.55%
2021,1,10,Dallas,40.00%
2021,1,10,NY Giants,25.00%
2021,1,10,Seattle,30.77%
2021,1,10,Miami,10.00%
2021,1,10,Washington,23.53%
2021,1,10,Philadelphia,30.77%
2021,1,10,Denver,53.85%
2021,1,10,Indianapolis,27.27%
2021,1,10,Cincinnati,25.00%
2021,1,10,NY Jets,55.56%
2021,1,10,Chicago,36.36%
2021,1,3,Kansas City,50.00%
2021,1,3,Buffalo,44.44%
2021,1,3,Las Vegas,25.00%
2021,1,3,Green Bay,54.55%
2021,1,3,New Orleans,46.67%
2021,1,3,Pittsburgh,42.86%
2021,1,3,LA Rams,30.77%
2021,1,3,Tennessee,41.67%
2021,1,3,Arizona,42.86%
2021,1,3,LA Chargers,18.75%
2021,1,3,New England,36.36%
2021,1,3,Minnesota,46.15%
2021,1,3,Baltimore,23.08%
2021,1,3,Tampa Bay,33.33%
2021,1,3,Jacksonville,38.46%
2021,1,3,Houston,33.33%
2021,1,3,Atlanta,47.37%
2021,1,3,NY Giants,42.86%
2021,1,3,Carolina,42.86%
2021,1,3,Cleveland,45.45%
2021,1,3,Miami,50.00%
2021,1,3,Dallas,30.77%
2021,1,3,San Francisco,21.43%
2021,1,3,Washington,53.85%
2021,1,3,Detroit,46.15%
2021,1,3,Seattle,20.00%
2021,1,3,Philadelphia,47.06%
2021,1,3,Indianapolis,38.46%
2021,1,3,Cincinnati,30.00%
2021,1,3,Denver,10.00%
2021,1,3,Chicago,40.00%
2021,1,3,NY Jets,23.08%
2020,12,27,Buffalo,69.23%
2020,12,27,Green Bay,41.67%
2020,12,27,Kansas City,50.00%
2020,12,27,Las Vegas,0.00%
2020,12,27,Baltimore,66.67%
2020,12,27,LA Chargers,58.33%
2020,12,27,Cleveland,69.23%
2020,12,27,New Orleans,55.56%
2020,12,27,Tennessee,81.82%
2020,12,27,LA Rams,18.18%
2020,12,27,Atlanta,40.00%
2020,12,27,Houston,53.33%
2020,12,27,Tampa Bay,40.00%
2020,12,27,Pittsburgh,25.00%
2020,12,27,Minnesota,33.33%
2020,12,27,Jacksonville,41.67%
2020,12,27,New England,22.22%
2020,12,27,Detroit,10.00%
2020,12,27,Dallas,40.00%
2020,12,27,Arizona,25.00%
2020,12,27,Carolina,33.33%
2020,12,27,Indianapolis,54.55%
2020,12,27,Seattle,41.67%
2020,12,27,Miami,33.33%
2020,12,27,NY Giants,45.45%
2020,12,27,San Francisco,22.22%
2020,12,27,Washington,58.82%
2020,12,27,Denver,42.86%
2020,12,27,Philadelphia,33.33%
2020,12,27,Cincinnati,28.57%
2020,12,27,NY Jets,41.18%
2020,12,27,Chicago,50.00%
2020,12,20,Buffalo,69.23%
2020,12,20,Las Vegas,38.46%
2020,12,20,Green Bay,41.67%
2020,12,20,Kansas City,45.45%
2020,12,20,New Orleans,41.67%
2020,12,20,LA Chargers,58.33%
2020,12,20,LA Rams,21.43%
2020,12,20,Baltimore,54.55%
2020,12,20,Pittsburgh,10.00%
2020,12,20,Atlanta,75.00%
2020,12,20,Tampa Bay,45.45%
2020,12,20,Cleveland,41.67%
2020,12,20,Minnesota,33.33%
2020,12,20,Arizona,38.89%
2020,12,20,Houston,50.00%
2020,12,20,Tennessee,33.33%
2020,12,20,New England,23.08%
2020,12,20,Detroit,50.00%
2020,12,20,Jacksonville,35.71%
2020,12,20,Dallas,45.45%
2020,12,20,Carolina,33.33%
2020,12,20,San Francisco,26.67%
2020,12,20,Seattle,54.55%
2020,12,20,Indianapolis,72.73%
2020,12,20,Miami,46.67%
2020,12,20,NY Giants,25.00%
2020,12,20,Denver,42.86%
2020,12,20,Philadelphia,30.77%
2020,12,20,Cincinnati,56.25%
2020,12,20,Washington,20.00%
2020,12,20,NY Jets,33.33%
2020,12,20,Chicago,30.00%
2020,12,13,Buffalo,44.44%
2020,12,13,Kansas City,30.00%
2020,12,13,Las Vegas,42.86%
2020,12,13,Green Bay,41.67%
2020,12,13,New Orleans,47.06%
2020,12,13,Pittsburgh,40.00%
2020,12,13,LA Rams,21.43%
2020,12,13,Minnesota,43.75%
2020,12,13,Baltimore,45.45%
2020,12,13,LA Chargers,38.89%
2020,12,13,Cleveland,62.50%
2020,12,13,Tampa Bay,33.33%
2020,12,13,Arizona,33.33%
2020,12,13,Tennessee,20.00%
2020,12,13,New England,23.08%
2020,12,13,Jacksonville,30.77%
2020,12,13,San Francisco,54.55%
2020,12,13,Houston,38.46%
2020,12,13,Atlanta,38.46%
2020,12,13,Carolina,42.86%
2020,12,13,Detroit,54.55%
2020,12,13,Dallas,40.00%
2020,12,13,NY Giants,25.00%
2020,12,13,Seattle,30.77%
2020,12,13,Miami,10.00%
2020,12,13,Washington,23.53%
2020,12,13,Philadelphia,30.77%
2020,12,13,Denver,53.85%
2020,12,13,Indianapolis,27.27%
2020,12,13,Cincinnati,25.00%
2020,12,13,NY Jets,55.56%
2020,12,13,Chicago,36.36%
2020,12,6,Kansas City,50.00%
2020,12,6,Buffalo,44.44%
2020,12,6,Las Vegas,25.00%
2020,12,6,Green Bay,54.55%
2020,12,6,New Orleans,46.67%
2020,12,6,Pittsburgh,42.86%
2020,12,6,LA Rams,30.77%
2020,12,6,Tennessee,41.67%
2020,12,6,Arizona,42.86%
2020,12,6,LA Chargers,18.75%
2020,12,6,New England,36.36%
2020,12,6,Minnesota,46.15%
2020,12,6,Baltimore,23.08%
2020,12,6,Tampa Bay,33.33%
2020,12,6,Jacksonville,38.46%
2020,12,6,Houston,33.33%
2020,12,6,Atlanta,47.37%
2020,12,6,NY Giants,42.86%
2020,12,6,Carolina,42.86%
2020,12,6,Cleveland,45.45%
2020,12,6,Miami,50.00%
2020,12,6,Dallas,30.77%
2020,12,6,San Francisco,21.43%
2020,12,6,Washington,53.85%
2020,12,6,Detroit,46.15%
2020,12,6,Seattle,20.00%
2020,12,6,Philadelphia,47.06%
2020,12,6,Indianapolis,38.46%
2020,12,6,Cincinnati,30.00%
2020,12,6,Denver,10.00%
2020,12,6,Chicago,40.00%
2020,12,6,NY Jets,23.08%
2020,11,29,New Orleans,85.71%
2020,11,29,Buffalo,27.27%
2020,11,29,Pittsburgh,72.22%
2020,11,29,Green Bay,58.33%
2020,11,29,Las Vegas,38.46%
2020,11,29,Kansas City,0.00%
2020,11,29,LA Chargers,42.86%
2020,11,29,Carolina,66.67%
2020,11,29,Jacksonville,40.00%
2020,11,29,Tennessee,38.46%
2020,11,29,LA Rams,30.77%
2020,11,29,Atlanta,50.00%
2020,11,29,Tampa Bay,58.33%
2020,11,29,Arizona,41.67%
