year,month,day,team,defensive_completion_%
2021,11,7,Dallas,63.89%
2021,11,7,Pittsburgh,64.52%
2021,11,7,LA Chargers,51.43%
2021,11,7,Miami,67.44%
2021,11,7,San Francisco,70.37%
2021,11,7,Green Bay,66.67%
2021,11,7,Houston,64.71%
2021,11,7,Washington,73.08%
2021,11,7,Cincinnati,79.59%
2021,11,7,LA Rams,74.36%
2021,11,7,Detroit,68.75%
2021,11,7,Kansas City,69.70%
2021,11,7,Tampa Bay,56.41%
2021,11,7,NY Giants,60.42%
2021,11,7,Atlanta,52.00%
2021,11,7,NY Jets,73.33%
2021,11,7,Indianapolis,65.38%
2021,11,7,Jacksonville,83.33%
2021,11,7,Philadelphia,73.53%
2021,10,31,Denver,63.64%
2021,10,31,Buffalo,62.07%
2021,10,31,New Orleans,54.55%
2021,10,31,Cleveland,69.70%
2021,10,31,Minnesota,41.46%
2021,10,31,New England,61.90%
2021,10,31,Carolina,70.59%
2021,10,31,Arizona,59.46%
2021,10,31,Baltimore,60.53%
2021,10,31,Chicago,56.41%
2021,10,31,Las Vegas,52.94%
2021,10,31,Tennessee,60.78%
2021,10,31,Cincinnati,47.62%
2021,10,31,Dallas,71.43%
2021,10,31,Pittsburgh,71.88%
2021,10,31,Miami,62.50%
2021,10,31,San Francisco,65.38%
2021,10,31,Seattle,54.29%
2021,10,31,Green Bay,66.67%
2021,10,31,LA Rams,62.16%
2021,10,31,Washington,77.14%
2021,10,31,Houston,71.43%
2021,10,31,Kansas City,78.57%
2021,10,31,Detroit,68.29%
2021,10,31,LA Chargers,70.37%
2021,10,31,NY Jets,68.29%
2021,10,31,NY Giants,48.72%
2021,10,31,Tampa Bay,68.75%
2021,10,31,Indianapolis,59.26%
2021,10,31,Atlanta,80.00%
2021,10,31,Jacksonville,70.83%
2021,10,31,Philadelphia,91.18%
2021,10,24,Denver,63.64%
2021,10,24,Buffalo,62.07%
2021,10,24,New Orleans,48.78%
2021,10,24,Cleveland,69.70%
2021,10,24,Minnesota,41.46%
2021,10,24,Carolina,68.75%
2021,10,24,New England,70.59%
2021,10,24,Arizona,64.52%
2021,10,24,Baltimore,56.41%
2021,10,24,Washington,68.09%
2021,10,24,Dallas,71.43%
2021,10,24,Pittsburgh,71.88%
2021,10,24,Tennessee,74.47%
2021,10,24,San Francisco,70.97%
2021,10,24,Chicago,73.91%
2021,10,24,Las Vegas,71.43%
2021,10,24,Green Bay,59.26%
2021,10,24,Kansas City,61.54%
2021,10,24,Miami,60.98%
2021,10,24,Houston,55.00%
2021,10,24,LA Rams,56.86%
2021,10,24,Detroit,66.67%
2021,10,24,Seattle,72.50%
2021,10,24,Cincinnati,66.67%
2021,10,24,Atlanta,59.38%
2021,10,24,LA Chargers,70.37%
2021,10,24,NY Jets,71.74%
2021,10,24,Tampa Bay,46.15%
2021,10,24,Philadelphia,80.95%
2021,10,24,Indianapolis,67.44%
2021,10,24,Jacksonville,70.83%
2021,10,24,NY Giants,73.33%
2021,10,17,Denver,60.00%
2021,10,17,Buffalo,61.11%
2021,10,17,Cleveland,60.47%
2021,10,17,Carolina,59.46%
2021,10,17,New England,72.41%
2021,10,17,New Orleans,48.78%
2021,10,17,Arizona,51.72%
2021,10,17,Tennessee,69.70%
2021,10,17,Pittsburgh,63.16%
2021,10,17,Washington,50.00%
2021,10,17,Las Vegas,61.90%
2021,10,17,Dallas,53.85%
2021,10,17,Chicago,62.86%
2021,10,17,Baltimore,71.43%
2021,10,17,San Francisco,70.97%
2021,10,17,Minnesota,60.00%
2021,10,17,Seattle,67.57%
2021,10,17,Green Bay,68.42%
2021,10,17,Kansas City,57.69%
2021,10,17,Miami,75.00%
2021,10,17,Detroit,73.53%
2021,10,17,Houston,76.67%
2021,10,17,LA Chargers,71.88%
2021,10,17,Atlanta,59.38%
2021,10,17,Cincinnati,69.23%
2021,10,17,NY Jets,71.74%
2021,10,17,LA Rams,63.64%
2021,10,17,Tampa Bay,46.15%
2021,10,17,Philadelphia,80.95%
2021,10,17,Indianapolis,86.05%
2021,10,17,Jacksonville,63.64%
2021,10,17,NY Giants,69.70%
2021,10,10,Denver,59.46%
2021,10,10,Buffalo,52.38%
2021,10,10,New England,51.16%
2021,10,10,Cleveland,52.63%
2021,10,10,Carolina,63.64%
2021,10,10,Tennessee,61.76%
2021,10,10,New Orleans,70.00%
2021,10,10,Baltimore,51.35%
2021,10,10,Arizona,63.41%
2021,10,10,Pittsburgh,55.56%
2021,10,10,San Francisco,69.57%
2021,10,10,Las Vegas,64.10%
2021,10,10,Miami,75.00%
2021,10,10,Chicago,63.16%
2021,10,10,Detroit,64.71%
2021,10,10,Houston,67.74%
2021,10,10,Seattle,67.57%
2021,10,10,Green Bay,65.00%
2021,10,10,Washington,59.52%
2021,10,10,Dallas,66.67%
2021,10,10,LA Chargers,61.76%
2021,10,10,Minnesota,45.45%
2021,10,10,Indianapolis,66.67%
2021,10,10,NY Jets,61.22%
2021,10,10,Cincinnati,70.83%
2021,10,10,Kansas City,66.67%
2021,10,10,LA Rams,63.64%
2021,10,10,Atlanta,69.70%
2021,10,10,Philadelphia,80.00%
2021,10,10,Tampa Bay,78.57%
2021,10,10,NY Giants,73.08%
2021,10,10,Jacksonville,78.13%
2021,10,3,Denver,54.29%
2021,10,3,Buffalo,58.33%
2021,10,3,Carolina,67.86%
2021,10,3,New England,61.90%
2021,10,3,Cleveland,30.00%
2021,10,3,New Orleans,58.82%
2021,10,3,Tennessee,51.35%
2021,10,3,Miami,60.47%
2021,10,3,San Francisco,69.70%
2021,10,3,Arizona,64.71%
2021,10,3,Las Vegas,65.31%
2021,10,3,Houston,67.65%
2021,10,3,Chicago,61.29%
2021,10,3,Detroit,51.61%
2021,10,3,Dallas,64.10%
2021,10,3,Baltimore,70.97%
2021,10,3,Pittsburgh,77.78%
2021,10,3,Green Bay,62.50%
2021,10,3,Cincinnati,70.83%
2021,10,3,Indianapolis,66.67%
2021,10,3,LA Chargers,61.36%
2021,10,3,Washington,75.00%
2021,10,3,LA Rams,74.55%
2021,10,3,Philadelphia,80.77%
2021,10,3,Kansas City,68.42%
2021,10,3,Seattle,78.95%
2021,10,3,Atlanta,68.57%
2021,10,3,Tampa Bay,71.05%
2021,10,3,NY Jets,76.00%
2021,10,3,Jacksonville,78.13%
2021,10,3,NY Giants,75.00%
2021,10,3,Minnesota,71.88%
2021,9,26,Denver,42.42%
2021,9,26,Buffalo,56.82%
2021,9,26,Carolina,67.86%
2021,9,26,New England,57.58%
2021,9,26,San Francisco,50.00%
2021,9,26,New Orleans,68.42%
2021,9,26,Miami,51.52%
2021,9,26,Arizona,68.75%
2021,9,26,Las Vegas,67.50%
2021,9,26,Pittsburgh,75.68%
2021,9,26,Houston,67.65%
2021,9,26,Philadelphia,73.33%
2021,9,26,Baltimore,77.42%
2021,9,26,Seattle,67.50%
2021,9,26,Washington,68.75%
2021,9,26,LA Rams,61.11%
2021,9,26,Tennessee,70.97%
2021,9,26,Dallas,75.61%
2021,9,26,Cleveland,62.07%
2021,9,26,Chicago,63.33%
2021,9,26,Indianapolis,63.33%
2021,9,26,Jacksonville,76.47%
2021,9,26,Cincinnati,62.50%
2021,9,26,NY Jets,73.33%
2021,9,26,Atlanta,66.67%
2021,9,26,Green Bay,72.22%
2021,9,26,Kansas City,69.23%
2021,9,26,Tampa Bay,72.92%
2021,9,26,Detroit,81.48%
2021,9,26,NY Giants,73.91%
2021,9,26,LA Chargers,85.19%
2021,9,26,Minnesota,80.56%
2021,9,19,Carolina,54.05%
2021,9,19,Houston,54.90%
2021,9,19,Buffalo,56.25%
2021,9,19,New Orleans,57.14%
2021,9,19,Pittsburgh,58.82%
2021,9,19,New England,59.26%
2021,9,19,Denver,59.46%
2021,9,19,Philadelphia,60.00%
2021,9,19,Baltimore,60.71%
2021,9,19,Arizona,61.11%
2021,9,19,Las Vegas,63.33%
2021,9,19,Jacksonville,63.64%
2021,9,19,Dallas,64.00%
2021,9,19,Tennessee,65.63%
2021,9,19,Seattle,65.79%
2021,9,19,San Francisco,66.67%
2021,9,19,LA Chargers,66.67%
2021,9,19,Washington,68.75%
2021,9,19,NY Jets,68.57%
2021,9,19,Detroit,69.23%
2021,9,19,Green Bay,71.43%
2021,9,19,Tampa Bay,72.41%
2021,9,19,LA Rams,72.50%
2021,9,19,Cincinnati,74.00%
2021,9,19,Minnesota,74.07%
2021,9,19,Miami,74.36%
2021,9,19,Kansas City,75.00%
2021,9,19,Cleveland,75.00%
2021,9,19,NY Giants,73.91%
2021,9,19,Chicago,76.92%
2021,9,19,Atlanta,77.14%
2021,9,19,Indianapolis,78.26%
2021,9,12,Dallas,64.00%
2021,9,12,Tampa Bay,72.41%
2021,9,5,Pittsburgh,61.76%
2021,9,5,New Orleans,54.55%
2021,9,5,Washington,55.00%
2021,9,5,LA Rams,63.89%
2021,9,5,LA Chargers,71.88%
2021,9,5,Kansas City,72.41%
2021,9,5,Cincinnati,57.89%
2021,9,5,Miami,63.16%
2021,9,5,San Francisco,55.56%
2021,9,5,Las Vegas,60.98%
2021,9,5,Baltimore,62.16%
2021,9,5,Dallas,68.00%
2021,9,5,Arizona,57.89%
2021,9,5,Buffalo,76.32%
2021,9,5,Cleveland,71.05%
2021,9,5,Chicago,71.79%
2021,9,5,Green Bay,55.56%
2021,9,5,Denver,63.16%
2021,9,5,Seattle,48.00%
2021,9,5,Indianapolis,74.29%
2021,9,5,Minnesota,64.52%
2021,9,5,Tampa Bay,53.06%
2021,9,5,Tennessee,70.83%
2021,9,5,New England,67.65%
2021,9,5,NY Giants,61.70%
2021,9,5,Atlanta,63.41%
2021,9,5,Carolina,68.75%
2021,9,5,Philadelphia,68.75%
2021,9,5,Detroit,70.00%
2021,9,5,NY Jets,70.97%
2021,9,5,Jacksonville,62.96%
2021,9,5,Houston,66.67%
2021,2,28,Pittsburgh,61.76%
2021,2,28,New Orleans,54.55%
2021,2,28,Washington,55.00%
2021,2,28,LA Rams,63.89%
2021,2,28,LA Chargers,71.88%
2021,2,28,Kansas City,72.41%
2021,2,28,Cincinnati,57.89%
2021,2,28,Miami,63.16%
2021,2,28,San Francisco,55.56%
2021,2,28,Las Vegas,60.98%
2021,2,28,Baltimore,62.16%
2021,2,28,Dallas,68.00%
2021,2,28,Arizona,57.89%
2021,2,28,Buffalo,76.32%
2021,2,28,Cleveland,71.05%
2021,2,28,Chicago,71.79%
2021,2,28,Green Bay,55.56%
2021,2,28,Denver,63.16%
2021,2,28,Seattle,48.00%
2021,2,28,Indianapolis,74.29%
2021,2,28,Minnesota,64.52%
2021,2,28,Tampa Bay,53.06%
2021,2,28,Tennessee,70.83%
2021,2,28,New England,67.65%
2021,2,28,NY Giants,61.70%
2021,2,28,Atlanta,63.41%
2021,2,28,Carolina,68.75%
2021,2,28,Philadelphia,68.75%
2021,2,28,Detroit,70.00%
2021,2,28,NY Jets,70.97%
2021,2,28,Jacksonville,62.96%
2021,2,28,Houston,66.67%
2021,2,21,Pittsburgh,61.76%
2021,2,21,New Orleans,54.55%
2021,2,21,Washington,55.00%
2021,2,21,LA Rams,63.89%
2021,2,21,LA Chargers,71.88%
2021,2,21,Kansas City,72.41%
2021,2,21,Cincinnati,57.89%
2021,2,21,Miami,63.16%
2021,2,21,San Francisco,55.56%
2021,2,21,Las Vegas,60.98%
2021,2,21,Baltimore,62.16%
2021,2,21,Dallas,68.00%
2021,2,21,Arizona,57.89%
2021,2,21,Buffalo,76.32%
2021,2,21,Cleveland,71.05%
2021,2,21,Chicago,71.79%
2021,2,21,Green Bay,55.56%
2021,2,21,Denver,63.16%
2021,2,21,Seattle,48.00%
2021,2,21,Indianapolis,74.29%
2021,2,21,Minnesota,64.52%
2021,2,21,Tampa Bay,53.06%
2021,2,21,Tennessee,70.83%
2021,2,21,New England,67.65%
2021,2,21,NY Giants,61.70%
2021,2,21,Atlanta,63.41%
2021,2,21,Carolina,68.75%
2021,2,21,Philadelphia,68.75%
2021,2,21,Detroit,70.00%
2021,2,21,NY Jets,70.97%
2021,2,21,Jacksonville,62.96%
2021,2,21,Houston,66.67%
2021,2,14,Pittsburgh,61.76%
2021,2,14,New Orleans,54.55%
2021,2,14,Washington,55.00%
2021,2,14,LA Rams,63.89%
2021,2,14,LA Chargers,71.88%
2021,2,14,Kansas City,72.41%
2021,2,14,Cincinnati,57.89%
2021,2,14,Miami,63.16%
2021,2,14,San Francisco,55.56%
2021,2,14,Las Vegas,60.98%
2021,2,14,Baltimore,62.16%
2021,2,14,Dallas,68.00%
2021,2,14,Arizona,57.89%
2021,2,14,Buffalo,76.32%
2021,2,14,Cleveland,71.05%
2021,2,14,Chicago,71.79%
2021,2,14,Green Bay,55.56%
2021,2,14,Denver,63.16%
2021,2,14,Seattle,48.00%
2021,2,14,Indianapolis,74.29%
2021,2,14,Minnesota,64.52%
2021,2,14,Tampa Bay,53.06%
2021,2,14,Tennessee,70.83%
2021,2,14,New England,67.65%
2021,2,14,NY Giants,61.70%
2021,2,14,Atlanta,63.41%
2021,2,14,Carolina,68.75%
2021,2,14,Philadelphia,68.75%
2021,2,14,Detroit,70.00%
2021,2,14,NY Jets,70.97%
2021,2,14,Jacksonville,62.96%
2021,2,14,Houston,66.67%
2021,2,7,Pittsburgh,61.76%
2021,2,7,New Orleans,54.55%
2021,2,7,Washington,55.00%
2021,2,7,Kansas City,58.33%
2021,2,7,LA Rams,63.89%
2021,2,7,LA Chargers,71.88%
2021,2,7,Cincinnati,57.89%
2021,2,7,Miami,63.16%
2021,2,7,San Francisco,55.56%
2021,2,7,Las Vegas,60.98%
2021,2,7,Baltimore,62.16%
2021,2,7,Dallas,68.00%
2021,2,7,Arizona,57.89%
2021,2,7,Buffalo,76.32%
2021,2,7,Cleveland,71.05%
2021,2,7,Chicago,71.79%
2021,2,7,Green Bay,55.56%
2021,2,7,Denver,63.16%
2021,2,7,Seattle,48.00%
2021,2,7,Indianapolis,74.29%
2021,2,7,Minnesota,64.52%
2021,2,7,Tennessee,70.83%
2021,2,7,New England,67.65%
2021,2,7,NY Giants,61.70%
2021,2,7,Tampa Bay,68.75%
2021,2,7,Atlanta,63.41%
2021,2,7,Carolina,68.75%
2021,2,7,Philadelphia,68.75%
2021,2,7,Detroit,70.00%
2021,2,7,NY Jets,70.97%
2021,2,7,Jacksonville,62.96%
2021,2,7,Houston,66.67%
2021,1,31,Pittsburgh,61.76%
2021,1,31,New Orleans,65.85%
2021,1,31,LA Chargers,51.06%
2021,1,31,Kansas City,77.14%
2021,1,31,Miami,61.76%
2021,1,31,LA Rams,62.50%
2021,1,31,Cincinnati,72.73%
2021,1,31,Chicago,64.86%
2021,1,31,Green Bay,42.31%
2021,1,31,Dallas,53.85%
2021,1,31,Cleveland,51.52%
2021,1,31,Washington,67.86%
2021,1,31,Las Vegas,74.29%
2021,1,31,San Francisco,62.00%
2021,1,31,Arizona,59.09%
2021,1,31,Buffalo,42.86%
2021,1,31,Baltimore,58.54%
2021,1,31,Indianapolis,69.39%
2021,1,31,Denver,63.64%
2021,1,31,Minnesota,75.00%
2021,1,31,Seattle,55.81%
2021,1,31,Tennessee,84.00%
2021,1,31,New England,75.00%
2021,1,31,Carolina,55.32%
2021,1,31,NY Giants,65.38%
2021,1,31,Atlanta,53.33%
2021,1,31,Detroit,73.81%
2021,1,31,Philadelphia,73.33%
2021,1,31,NY Jets,52.83%
2021,1,31,Tampa Bay,67.74%
2021,1,31,Jacksonville,66.67%
2021,1,31,Houston,76.32%
2021,1,24,Pittsburgh,53.85%
2021,1,24,New Orleans,55.32%
2021,1,24,Kansas City,44.12%
2021,1,24,Cincinnati,52.63%
2021,1,24,LA Rams,70.97%
2021,1,24,Miami,62.96%
2021,1,24,LA Chargers,60.61%
2021,1,24,Chicago,68.57%
2021,1,24,Las Vegas,68.75%
2021,1,24,Washington,66.67%
2021,1,24,San Francisco,58.82%
2021,1,24,Green Bay,60.00%
2021,1,24,Cleveland,59.38%
2021,1,24,Dallas,60.47%
2021,1,24,Arizona,54.55%
2021,1,24,Baltimore,75.86%
2021,1,24,Indianapolis,80.49%
2021,1,24,Buffalo,62.50%
2021,1,24,Minnesota,71.43%
2021,1,24,Tennessee,71.05%
2021,1,24,Denver,70.00%
2021,1,24,New England,76.92%
2021,1,24,Seattle,69.09%
2021,1,24,Detroit,77.78%
2021,1,24,NY Giants,84.38%
2021,1,24,Philadelphia,75.68%
2021,1,24,Carolina,68.97%
2021,1,24,Houston,75.86%
2021,1,24,Tampa Bay,69.39%
2021,1,24,Atlanta,68.89%
2021,1,24,Jacksonville,73.08%
2021,1,24,NY Jets,64.71%
2021,1,17,Pittsburgh,55.81%
2021,1,17,New Orleans,56.67%
2021,1,17,Kansas City,57.14%
2021,1,17,LA Rams,60.87%
2021,1,17,Chicago,70.00%
2021,1,17,Las Vegas,67.86%
2021,1,17,Miami,70.59%
2021,1,17,Cincinnati,69.57%
2021,1,17,LA Chargers,66.67%
2021,1,17,Washington,55.56%
2021,1,17,Indianapolis,69.57%
2021,1,17,San Francisco,46.88%
2021,1,17,Green Bay,67.50%
2021,1,17,Cleveland,57.14%
2021,1,17,Baltimore,60.42%
2021,1,17,Dallas,73.68%
2021,1,17,Minnesota,65.22%
2021,1,17,Tennessee,57.41%
2021,1,17,Arizona,54.17%
2021,1,17,Buffalo,56.76%
2021,1,17,New England,64.00%
2021,1,17,Denver,75.00%
2021,1,17,NY Giants,68.57%
2021,1,17,Seattle,53.85%
2021,1,17,Detroit,78.79%
2021,1,17,Philadelphia,73.68%
2021,1,17,Houston,72.73%
2021,1,17,Carolina,77.78%
2021,1,17,Tampa Bay,64.86%
2021,1,17,Atlanta,81.82%
2021,1,17,Jacksonville,79.17%
2021,1,17,NY Jets,78.13%
2021,1,10,Pittsburgh,67.39%
2021,1,10,New Orleans,48.72%
2021,1,10,Chicago,64.29%
2021,1,10,Miami,62.96%
2021,1,10,LA Rams,53.85%
2021,1,10,Las Vegas,60.87%
2021,1,10,Cincinnati,66.67%
2021,1,10,Kansas City,53.57%
2021,1,10,LA Chargers,63.64%
2021,1,10,Indianapolis,68.42%
2021,1,10,Dallas,70.59%
2021,1,10,Washington,62.26%
2021,1,10,Green Bay,40.74%
2021,1,10,Denver,62.50%
2021,1,10,Cleveland,64.44%
2021,1,10,Baltimore,64.58%
2021,1,10,Minnesota,66.67%
2021,1,10,New England,49.06%
2021,1,10,San Francisco,80.00%
2021,1,10,Arizona,78.72%
2021,1,10,Tennessee,76.47%
2021,1,10,Buffalo,66.67%
2021,1,10,Detroit,76.47%
2021,1,10,NY Giants,62.79%
2021,1,10,Philadelphia,73.53%
2021,1,10,Seattle,59.09%
2021,1,10,Atlanta,72.97%
2021,1,10,Houston,77.14%
2021,1,10,Carolina,75.56%
2021,1,10,Jacksonville,65.12%
2021,1,10,Tampa Bay,74.00%
2021,1,10,NY Jets,59.57%
2021,1,3,Pittsburgh,50.00%
2021,1,3,Chicago,72.41%
2021,1,3,New Orleans,11.11%
2021,1,3,Miami,59.26%
2021,1,3,Cincinnati,57.89%
2021,1,3,Las Vegas,56.41%
2021,1,3,Indianapolis,59.09%
2021,1,3,LA Chargers,76.00%
2021,1,3,LA Rams,68.57%
2021,1,3,Kansas City,65.85%
2021,1,3,Dallas,74.07%
2021,1,3,San Francisco,61.29%
2021,1,3,Washington,71.43%
2021,1,3,Arizona,50.00%
2021,1,3,Cleveland,57.14%
2021,1,3,Minnesota,52.78%
2021,1,3,Denver,56.25%
2021,1,3,Baltimore,70.59%
2021,1,3,Tennessee,54.55%
2021,1,3,Detroit,68.00%
2021,1,3,Green Bay,56.52%
2021,1,3,Philadelphia,70.97%
2021,1,3,Buffalo,59.62%
2021,1,3,NY Giants,58.62%
2021,1,3,Houston,65.12%
2021,1,3,Atlanta,64.10%
2021,1,3,Seattle,56.52%
2021,1,3,Carolina,75.56%
2021,1,3,New England,67.65%
2021,1,3,Tampa Bay,74.00%
2021,1,3,Jacksonville,65.52%
2021,1,3,NY Jets,61.54%
2020,12,27,Pittsburgh,53.85%
2020,12,27,New Orleans,65.85%
2020,12,27,Kansas City,44.12%
2020,12,27,Cincinnati,52.63%
2020,12,27,Miami,61.76%
2020,12,27,LA Rams,70.97%
2020,12,27,LA Chargers,60.61%
2020,12,27,Chicago,68.57%
2020,12,27,Washington,66.67%
2020,12,27,Las Vegas,74.29%
2020,12,27,San Francisco,62.00%
2020,12,27,Arizona,59.09%
2020,12,27,Green Bay,60.00%
2020,12,27,Cleveland,59.38%
2020,12,27,Dallas,60.47%
2020,12,27,Baltimore,75.86%
2020,12,27,Indianapolis,80.49%
2020,12,27,Buffalo,62.50%
2020,12,27,Tennessee,71.05%
2020,12,27,Minnesota,75.00%
2020,12,27,Denver,70.00%
2020,12,27,New England,76.92%
2020,12,27,Seattle,69.09%
2020,12,27,NY Giants,84.38%
2020,12,27,Philadelphia,75.68%
2020,12,27,Detroit,73.81%
2020,12,27,Carolina,68.97%
2020,12,27,Tampa Bay,67.74%
2020,12,27,Houston,75.86%
2020,12,27,Atlanta,68.89%
2020,12,27,Jacksonville,73.08%
2020,12,27,NY Jets,64.71%
2020,12,20,Pittsburgh,55.81%
2020,12,20,New Orleans,56.67%
2020,12,20,Kansas City,57.14%
2020,12,20,LA Rams,60.87%
2020,12,20,Chicago,70.00%
2020,12,20,Miami,70.59%
2020,12,20,LA Chargers,60.61%
2020,12,20,Cincinnati,69.57%
2020,12,20,Las Vegas,68.75%
2020,12,20,Washington,55.56%
2020,12,20,Indianapolis,69.57%
2020,12,20,Green Bay,60.00%
2020,12,20,San Francisco,46.88%
2020,12,20,Cleveland,57.14%
2020,12,20,Baltimore,60.42%
2020,12,20,Dallas,73.68%
2020,12,20,Minnesota,65.22%
2020,12,20,Tennessee,57.41%
2020,12,20,Arizona,54.17%
2020,12,20,Buffalo,62.50%
2020,12,20,New England,64.00%
2020,12,20,Denver,70.00%
2020,12,20,NY Giants,68.57%
2020,12,20,Seattle,53.85%
2020,12,20,Detroit,78.79%
2020,12,20,Philadelphia,73.68%
2020,12,20,Houston,72.73%
2020,12,20,Carolina,68.97%
2020,12,20,Tampa Bay,64.86%
2020,12,20,Atlanta,81.82%
2020,12,20,Jacksonville,79.17%
2020,12,20,NY Jets,78.13%
2020,12,13,Pittsburgh,67.39%
2020,12,13,New Orleans,48.72%
2020,12,13,Chicago,64.29%
2020,12,13,Miami,62.96%
2020,12,13,LA Rams,60.87%
2020,12,13,Las Vegas,60.87%
2020,12,13,Cincinnati,66.67%
2020,12,13,Kansas City,53.57%
2020,12,13,LA Chargers,63.64%
2020,12,13,Indianapolis,68.42%
2020,12,13,Dallas,70.59%
2020,12,13,Washington,62.26%
2020,12,13,Green Bay,40.74%
2020,12,13,Denver,62.50%
2020,12,13,Cleveland,64.44%
2020,12,13,Baltimore,64.58%
2020,12,13,Minnesota,66.67%
2020,12,13,New England,64.00%
2020,12,13,San Francisco,80.00%
2020,12,13,Arizona,78.72%
2020,12,13,Tennessee,76.47%
2020,12,13,Buffalo,66.67%
2020,12,13,Detroit,76.47%
2020,12,13,NY Giants,62.79%
2020,12,13,Philadelphia,73.53%
2020,12,13,Seattle,59.09%
2020,12,13,Atlanta,72.97%
2020,12,13,Houston,77.14%
2020,12,13,Carolina,75.56%
2020,12,13,Jacksonville,65.12%
2020,12,13,Tampa Bay,74.00%
2020,12,13,NY Jets,59.57%
2020,12,6,Pittsburgh,50.00%
2020,12,6,Chicago,72.41%
2020,12,6,New Orleans,11.11%
2020,12,6,Miami,59.26%
2020,12,6,Cincinnati,57.89%
2020,12,6,Las Vegas,56.41%
2020,12,6,Indianapolis,59.09%
2020,12,6,LA Chargers,76.00%
2020,12,6,LA Rams,68.57%
2020,12,6,Kansas City,65.85%
2020,12,6,Dallas,74.07%
2020,12,6,San Francisco,61.29%
2020,12,6,Washington,71.43%
2020,12,6,Arizona,50.00%
2020,12,6,Cleveland,57.14%
2020,12,6,Minnesota,52.78%
2020,12,6,Denver,56.25%
2020,12,6,Baltimore,70.59%
2020,12,6,Tennessee,54.55%
2020,12,6,Detroit,68.00%
2020,12,6,Green Bay,56.52%
2020,12,6,Philadelphia,70.97%
2020,12,6,Buffalo,59.62%
2020,12,6,NY Giants,58.62%
2020,12,6,Houston,65.12%
2020,12,6,Atlanta,64.10%
2020,12,6,Seattle,56.52%
2020,12,6,Carolina,75.56%
2020,12,6,New England,67.65%
2020,12,6,Tampa Bay,74.00%
2020,12,6,Jacksonville,65.52%
2020,12,6,NY Jets,61.54%
2020,11,29,Pittsburgh,58.06%
2020,11,29,Chicago,69.70%
2020,11,29,Kansas City,60.00%
2020,11,29,Dallas,60.00%
2020,11,29,Indianapolis,64.10%
2020,11,29,San Francisco,60.00%
2020,11,29,Miami,47.73%
2020,11,29,Arizona,66.00%
2020,11,29,Washington,50.00%
2020,11,29,Cincinnati,79.31%
2020,11,29,Detroit,73.81%
2020,11,29,Baltimore,52.50%
2020,11,29,LA Chargers,51.85%
2020,11,29,Las Vegas,73.33%
2020,11,29,LA Rams,70.00%
